Uniform	Exponential	Cauchy
3.41498	1.05205	-1.39811
3.35399	1.10036	-2.36072
3.6033	1.00223	-0.496482
3.72835	0.922495	0.0210763
3.58608	1.03044	0.236138
3.75803	1.037	-1.86244
3.53159	0.971933	-6.01303
3.28711	0.914751	-1.51914
3.54467	0.962192	0.0952157
3.5107	1.01406	-74.8938
3.27195	1.13942	-4.11616
3.6085	0.944953	6.12395
3.54479	0.913932	1.14278
3.59759	1.01651	-0.262111
3.49492	0.867292	-6.51623
3.2242	0.907826	0.766393
3.62866	0.904456	-145.705
3.37766	1.01408	-1.51021
3.62144	0.912604	0.650994
3.74779	0.818169	-0.263059
3.64493	1.12759	2.44857
3.5107	0.817055	-0.0839037
3.61512	1.14439	-0.184214
3.36566	1.01974	0.00696145
3.60021	0.890642	-0.421044
3.65951	1.16001	-0.959893
3.20316	1.04464	-0.322796
3.57303	1.24235	-0.355432
3.63448	1.14572	0.295851
3.70722	0.933683	-0.247029
3.36643	0.994645	0.0405654
3.59541	0.90032	0.811246
3.26101	1.08191	0.17208
3.63071	0.95551	-0.00952524
3.43934	0.836023	0.303825
3.43643	0.875796	0.735177
3.66138	0.943115	2.0578
3.82039	0.999848	-0.300747
3.4602	1.00474	1.01454
3.39239	1.03627	-0.409046
3.42628	0.943697	-0.738058
3.38724	1.10383	-0.549562
3.66261	1.11143	-1.41247
3.62434	1.09024	1.55683
3.48265	1.00162	-0.6675
3.3976	1.11466	1.14216
3.34853	0.86612	-1.47796
3.4283	1.00921	-0.457023
3.2479	0.921658	1.37837
3.52637	0.920497	-6.12266
3.4837	0.987131	-0.652409
3.59408	0.880045	-14.0057
3.80162	1.10699	-0.881897
3.46925	1.36789	-0.783343
3.606	1.19859	0.46989
3.49356	0.955944	-0.372679
3.36572	1.09892	0.37591
3.45463	1.07189	0.105309
3.2873	1.0359	-0.446051
3.5889	1.02769	0.307921
3.53327	1.21711	0.532642
3.49575	1.09493	-0.747503
3.33961	1.07024	0.538087
3.7013	1.01541	10.1935
3.28698	1.11911	-0.567233
3.37384	0.824917	0.0272552
3.40597	1.01842	-0.668241
3.63108	0.88998	0.124118
3.54772	1.08856	0.343146
3.49265	1.03893	-1.62505
3.67677	0.947889	0.321927
3.56951	1.01376	-0.120803
3.59384	0.935894	-1.36962
3.49533	1.06762	-0.649952
3.22222	0.903996	0.660389
3.44316	1.04939	-0.255242
3.49185	0.970303	1.22443
3.53388	1.19329	0.620665
3.33141	1.11297	1.9911
3.58134	0.885536	-0.180254
3.47908	1.08461	4.91712
3.58222	1.19467	-0.534905
3.19874	0.860581	-1.77838
3.64724	0.9832	-2.03547
3.38901	0.948798	5.46239
3.33312	0.94168	-2.75276
3.54829	0.952096	-0.428859
3.62348	0.805903	-2.25054
3.50984	0.834097	0.808717
3.26988	0.884865	-0.13884
3.7367	1.11394	-0.477041
3.5925	1.13852	-39.3864
3.7169	1.05344	0.0896868
3.65329	0.959586	0.0275
3.37535	0.957299	0.336708
3.40271	1.04668	1.15651
3.5696	1.17511	15.3118
3.56445	0.883327	-0.601166
3.61221	1.06472	-1.1124
3.61073	1.08025	-6.40846
3.21352	1.09375	-223.276
3.54419	0.925952	-5.39175
3.71426	1.04157	-1.81339
3.49055	0.93356	2.35809
3.87819	1.08229	5.10939
3.51957	0.931383	-1.15126
3.49088	0.934913	-0.000270769
3.65011	1.05229	1.30661
3.46131	0.916721	1.52281
3.65825	0.994947	-0.363325
3.34901	0.974738	-1.46116
3.64602	1.13758	-6.88726
3.43995	1.0862	-2.14362
3.34117	0.971016	0.712831
3.27053	0.987401	0.0152564
3.18698	1.00589	-1.00308
3.59936	1.01267	-0.871186
3.59437	0.894978	1.02485
3.55271	0.95952	-1.18226
3.51656	0.953623	0.39451
3.47006	1.08054	1.35063
3.37038	1.04869	-1.20744
3.65204	1.06892	2.35357
3.51589	0.841454	1.39235
3.31377	0.994802	-29.1821
3.61995	0.910828	16.3326
3.17247	1.04195	-0.577726
3.56706	0.936768	-0.789087
3.39892	0.974005	0.814673
3.54464	0.826649	-0.418486
3.43825	0.843263	-0.61096
3.31761	0.970594	-0.164784
3.55615	0.808482	-0.337183
3.37099	1.01736	-25.4754
3.4924	1.13893	0.309214
3.28699	0.912942	0.0525782
3.45472	1.01421	1.89568
3.43684	1.01236	0.0437477
3.66108	1.05186	2.33684
3.3054	1.07208	-213.929
3.59018	1.03339	-2.0749
3.43037	1.14831	-0.0627457
3.72477	1.04404	-0.00772439
3.27573	0.823701	4.82279
3.5241	1.00843	-6.17681
3.72265	1.27745	0.763529
3.48671	1.19167	-5.5992
3.54931	0.924787	-0.789816
3.61639	0.96502	1.72158
3.28417	0.9055	1.39403
3.62925	1.24819	0.587304
3.30589	1.02477	-0.318453
3.64094	1.00432	2.47566
3.32597	1.12231	0.810519
3.64888	0.971249	-0.529796
3.77869	0.89147	-0.389259
3.17501	1.01676	-2.36581
3.50621	1.06036	-0.605314
3.66031	0.998946	-0.0332128
3.46494	1.014	-0.294936
3.40329	1.06886	0.226625
3.59246	0.977265	0.389798
3.51042	1.03877	-4.46437
3.51275	1.13922	4.32801
3.47693	0.918292	3.14126
3.62066	1.1109	10.7326
3.39271	0.935064	-0.788772
3.82476	0.969762	-0.29694
3.61841	1.10096	8.41716
3.09121	1.01542	-2.51762
3.65272	1.10583	-0.0403897
