Mean 	 Error
3.57143	0
3.00523	0.400365
2.92941	0.273995
3.08991	0.248093
2.91638	0.251961
2.92051	0.210002
2.91146	0.180196
2.96419	0.165208
3.04636	0.166033
3.03584	0.149762
3.08453	0.143845
3.08001	0.131929
3.12799	0.130212
3.08771	0.126988
3.12878	0.124986
3.17361	0.124957
3.28105	0.157145
3.27238	0.148654
3.28164	0.141118
3.2366	0.141065
3.23609	0.134349
3.21886	0.129341
3.21916	0.123718
3.21524	0.118625
3.21997	0.113974
3.19733	0.111815
3.17902	0.109164
3.18069	0.105278
3.1512	0.105696
3.15369	0.102202
3.13684	0.100284
3.12562	0.0977756
3.1256	0.0948127
3.1228	0.0920655
3.1321	0.0899035
3.12446	0.08773
3.11114	0.0863644
3.10039	0.0847578
3.10361	0.0826455
3.09955	0.0806791
3.09364	0.0789277
3.09438	0.077052
3.09994	0.0754602
3.09262	0.0740995
3.09123	0.0724658
3.099	0.0713049
3.08905	0.0704779
3.07314	0.0707817
3.0808	0.06975
3.09611	0.0700144
3.08987	0.0689193
3.09676	0.0679377
3.10122	0.0668023
3.09826	0.0656309
3.09874	0.0644395
3.09921	0.0632905
3.09226	0.0625612
3.08554	0.0618421
3.07905	0.0611334
3.07982	0.0601193
3.09238	0.0604321
3.0861	0.0597833
3.07781	0.0594057
3.0818	0.0586115
3.09137	0.0584855
3.0844	0.0580128
3.08101	0.057246
3.08314	0.0564438
3.07469	0.0562549
3.06938	0.0557017
3.06527	0.0550683
3.06478	0.0543056
3.07004	0.0538152
3.07681	0.0535128
3.08707	0.0537735
3.09518	0.0536746
3.10137	0.0533327
3.09824	0.0527408
3.09323	0.0523103
3.09244	0.0516623
3.09058	0.0510582
3.08498	0.0507415
3.096	0.0513138
3.08683	0.051516
3.09409	0.0514186
3.09335	0.0508261
3.09884	0.050538
3.0961	0.0500383
3.10292	0.0499397
3.11118	0.0500629
3.11133	0.049513
3.11045	0.0489826
3.10458	0.048807
3.11095	0.0487021
3.1145	0.0483187
3.12735	0.0494939
3.13066	0.0490941
3.12872	0.0486312
3.12302	0.0484732
3.12405	0.0479994
