gen	fitness
0	778.355
1	764.881
2	762.722
3	733.224
4	698.143
5	682.045
6	667.144
7	641.643
8	633.179
9	607.115
10	583.657
11	555.883
12	533.286
13	511.113
14	501.065
15	487.312
16	468.255
17	459.102
18	455.004
19	440.277
20	440.277
21	427.602
22	418.995
23	414.135
24	407.547
25	401.699
26	395.111
27	389.543
28	384.881
29	380.078
30	369.224
31	367.952
32	363.315
33	360.35
34	353.836
35	340.908
36	340.908
37	335.022
38	331.732
39	331.137
40	326.893
41	324.655
42	323.839
43	320.426
44	319.334
45	315.263
46	313.689
47	312.768
48	309.052
49	308.528
50	305.559
51	303.068
52	301.369
53	301.312
54	300.009
55	294.958
56	294.958
57	294.142
58	291.161
59	291.161
60	290.566
61	288.377
62	287.036
63	284.406
64	284.406
65	282.885
66	282.587
67	282.542
68	280.6
69	280.6
70	280.6
71	279.783
72	279.783
73	279.783
74	279.783
75	279.738
76	279.738
77	279.113
78	279.113
79	279.068
80	279.068
81	278.961
82	278.961
83	278.961
84	278.001
85	278.001
86	278.001
87	277.989
88	277.989
89	277.956
90	277.811
91	277.811
92	276.235
93	276.235
94	276.235
95	276.235
96	275.799
97	275.225
98	275.225
99	275.18
100	275.18
101	275.18
102	274.79
103	274.79
104	274.79
105	274.79
106	274.745
107	274.337
108	274.292
109	273.576
110	273.576
111	273.495
112	273.495
113	273.495
114	273.495
115	273.235
116	273.135
117	273.135
118	273.135
119	273.135
120	273.135
121	271.974
122	271.974
123	271.974
124	271.974
125	271.974
126	271.974
127	271.974
128	271.974
129	271.974
130	271.974
131	271.974
132	271.974
133	271.974
134	271.974
135	271.974
136	271.974
137	271.974
138	271.974
139	271.974
140	271.974
141	271.974
142	271.974
143	271.974
144	271.974
145	271.974
146	271.974
147	271.974
148	271.974
149	271.974
150	271.974
