Mean	Error
977.127	0
939.551	26.5701
904.987	33.3202
877.56	34.4774
855.165	34.088
835.446	33.6298
817.808	33.1297
801.895	32.5868
787.248	32.0892
773.61	31.6459
759.923	31.5909
746.574	31.6532
733.737	31.7144
721.371	31.7688
709.499	31.7917
698.013	31.8121
686.926	31.8141
676.234	31.7926
665.922	31.7478
655.992	31.6754
646.501	31.5568
637.505	31.3784
628.955	31.1574
620.784	30.912
612.971	30.647
605.482	30.3695
598.31	30.0796
591.436	29.7803
584.822	29.4787
578.455	29.1756
572.313	28.8738
566.375	28.5756
560.617	28.2838
555.042	27.996
549.648	27.7108
544.443	27.4255
539.378	27.148
534.415	26.8835
529.545	26.6316
524.784	26.3879
520.166	26.1452
515.693	25.9026
511.362	25.6597
507.172	25.4162
503.118	25.1727
499.196	24.9292
495.396	24.6867
491.702	24.4472
488.113	24.2103
484.623	23.9763
481.23	23.7451
477.929	23.5167
474.715	23.2917
471.578	23.0706
468.519	22.8529
465.543	22.6379
462.644	22.4255
459.813	22.2169
457.044	22.0122
454.339	21.8109
451.699	21.6125
449.125	21.4167
446.614	21.2234
444.163	21.0328
441.766	20.8454
439.415	20.6618
437.112	20.4813
434.861	20.3034
432.664	20.1277
430.52	19.954
428.426	19.7825
426.383	19.613
424.387	19.4456
422.44	19.28
420.542	19.1162
418.691	18.954
416.887	18.7935
415.129	18.6346
413.415	18.4775
411.741	18.3221
410.106	18.1687
408.51	18.0172
406.95	17.8675
405.427	17.7195
403.94	17.5734
402.485	17.4291
401.061	17.2869
399.666	17.1466
398.301	17.0083
396.964	16.8717
395.656	16.7369
394.377	16.6038
393.124	16.4725
391.896	16.343
390.687	16.2156
389.5	16.0901
388.333	15.9665
387.188	15.8445
386.065	15.7242
384.962	15.6056
383.878	15.4887
382.813	15.3734
381.768	15.2596
380.743	15.1473
379.736	15.0365
378.747	14.9271
377.776	14.8192
376.822	14.7126
375.886	14.6074
374.965	14.5036
374.059	14.4012
373.166	14.3003
372.287	14.2007
371.421	14.1025
370.57	14.0056
369.733	13.9098
368.91	13.8152
368.101	13.7219
367.304	13.6297
366.52	13.5386
365.748	13.4487
364.989	13.3599
364.241	13.2722
363.503	13.1857
362.773	13.1003
362.054	13.0161
361.344	12.9329
360.646	12.8507
359.959	12.7695
359.282	12.6892
358.615	12.6098
357.959	12.5314
357.313	12.4538
356.676	12.3771
356.048	12.3013
355.43	12.2264
354.821	12.1523
354.221	12.0791
353.629	12.0067
353.046	11.9351
352.471	11.8643
351.904	11.7943
351.345	11.725
350.794	11.6565
350.25	11.5888
349.714	11.5218
349.185	11.4556
348.663	11.3901
348.149	11.3252
347.641	11.2611
