gen	fitness
0	28.3481
1	26.4544
2	25.5763
3	25.2665
4	24.077
5	22.7652
6	19.6752
7	19.6134
8	18.7736
9	17.52
10	17.1212
11	17.0943
12	15.8422
13	15.6871
14	15.1569
15	14.251
16	13.8739
17	13.8125
18	12.6448
19	12.5266
20	11.8773
21	11.8773
22	11.6463
23	11.4123
24	11.3536
25	11.1964
26	11.1813
27	11.0307
28	11.0307
29	10.734
30	10.722
31	10.6162
32	10.613
33	10.5866
34	10.5782
35	10.5665
36	10.5436
37	10.5268
38	10.0337
39	10.0177
40	10.0116
41	9.98089
42	9.96663
43	9.96663
44	9.82615
45	9.82615
46	9.33264
47	9.33264
48	9.29754
49	8.8748
50	8.8748
51	8.22699
52	8.20266
53	7.95107
54	7.92674
55	7.92674
56	7.6954
57	7.67107
58	7.67107
59	7.45757
60	7.45757
61	7.18165
62	7.00124
63	6.72532
64	6.72532
65	6.45059
66	6.45059
67	6.31767
68	6.29333
69	6.27273
70	6.27273
71	6.27273
72	6.24839
73	6.24839
74	6.24839
75	6.24839
76	6.24839
77	6.24839
78	6.24839
79	6.24839
80	6.24839
81	6.24839
82	6.24839
83	6.24839
84	6.24839
85	6.24839
86	6.24839
87	6.24839
88	6.24839
89	6.24839
90	6.24839
91	6.24839
92	6.24839
93	6.24839
94	6.24839
95	6.24839
96	6.24839
97	6.24839
98	6.24839
99	6.24839
100	6.24839
