Mean	Error
37.7684	0
35.8672	1.34436
34.1502	1.66393
32.7378	1.74743
31.5792	1.74014
30.4763	1.76535
29.4434	1.79004
28.5188	1.78918
27.6719	1.77959
26.8887	1.76557
26.1972	1.73521
25.5794	1.69702
25.0051	1.66084
24.4579	1.62984
23.932	1.6038
23.4338	1.57905
22.959	1.5559
22.5074	1.53361
22.0749	1.51264
21.6599	1.49285
21.2619	1.47387
20.877	1.45626
20.5051	1.43966
20.1523	1.42223
19.8175	1.4042
19.5017	1.38525
19.2033	1.36572
18.9214	1.34571
18.6558	1.32525
18.4048	1.30463
18.167	1.28403
17.9404	1.26374
17.7242	1.24382
17.5175	1.22428
17.3211	1.20495
17.1347	1.18581
16.9579	1.16688
16.7899	1.14819
16.6299	1.12984
16.4761	1.11202
16.3262	1.09496
16.1796	1.07865
16.0371	1.06294
15.8999	1.04759
15.7685	1.03253
15.6422	1.01778
15.5202	1.0034
15.4014	0.989503
15.2841	0.976241
15.168	0.96359
15.0532	0.951511
14.9392	0.940024
14.8253	0.929164
14.7103	0.919045
14.5951	0.909529
14.48	0.900538
14.3667	0.89184
14.2555	0.883367
14.1464	0.875103
14.0397	0.866997
13.9353	0.859051
13.8329	0.851272
13.7322	0.843698
13.6322	0.836418
13.5325	0.829468
13.4329	0.822857
13.3337	0.816536
13.2351	0.810459
13.1376	0.804563
13.0414	0.798802
12.947	0.793106
12.8547	0.78744
12.7647	0.781784
12.6769	0.776127
12.5914	0.770475
12.5081	0.764833
12.4268	0.759205
12.3476	0.753593
12.2704	0.747998
12.1951	0.742426
12.1217	0.736881
12.0501	0.731367
11.9802	0.725888
11.9119	0.720447
11.8453	0.715046
11.7802	0.709687
11.7166	0.704372
11.6545	0.699103
11.5938	0.693882
11.5344	0.688709
11.4763	0.683586
11.4195	0.678514
11.3638	0.673492
11.3094	0.668523
11.2562	0.663605
11.204	0.658739
11.1529	0.653926
11.1029	0.649166
11.0538	0.644458
11.0058	0.639802
