step	city_sequence	city_x	city_y	fitness
0	1	1	2.6448e-07	6.24839
1	17	0.997692	-0.0678961	
2	7	0.996791	-0.0800441	
3	29	0.980815	-0.194938	
4	13	0.929651	-0.368441	
5	2	0.826313	-0.563211	
6	14	0.487509	-0.873118	
7	8	0.390604	-0.920559	
8	24	0.319849	-0.947469	
9	21	0.110235	-0.993906	
10	27	-0.117817	-0.993035	
11	4	-0.137889	-0.990448	
12	32	-0.187378	-0.982288	
13	3	-0.200482	-0.979697	
14	6	-0.276511	-0.961011	
15	5	-0.37358	-0.927598	
16	9	-0.593449	-0.804872	
17	25	-0.79793	-0.602751	
18	15	-0.997691	0.0679103	
19	12	-0.977675	0.210121	
20	10	-0.952502	0.304532	
21	11	-0.871769	0.489917	
22	26	-0.672585	0.74002	
23	30	-0.418205	0.908353	
24	28	-0.0974842	0.995237	
25	34	0.0421821	0.99911	
26	19	0.309373	0.950941	
27	20	0.324968	0.945725	
28	18	0.326648	0.945146	
29	31	0.599585	0.800311	
30	22	0.617572	0.786514	
31	33	0.75035	0.66104	
32	23	0.847657	0.530545	
33	16	0.884442	0.466651	
34	1	1	2.6448e-07	
