Mean	Error
15.9533	0
15.1567	0.563284
14.4548	0.68515
13.8818	0.71438
13.4241	0.702981
12.9907	0.706928
12.5734	0.718597
12.1908	0.723526
11.851	0.718507
11.552	0.706114
11.2859	0.690237
11.0445	0.67364
10.8231	0.657183
10.6199	0.640901
10.431	0.625387
10.2526	0.6112
10.0827	0.598398
9.92155	0.586459
9.76996	0.57485
9.62622	0.563791
9.48757	0.553732
9.35304	0.544658
9.22273	0.536339
9.09829	0.528232
8.9796	0.520266
8.86611	0.512485
8.75712	0.50496
8.65202	0.497743
8.55097	0.490728
8.45414	0.48383
8.36207	0.476902
8.27444	0.469982
8.19023	0.463223
8.1083	0.456786
8.02827	0.450691
7.95062	0.444811
7.8757	0.439053
7.80357	0.433384
7.7342	0.427787
7.66751	0.422259
7.60338	0.416801
7.54172	0.411412
7.48249	0.406086
7.42568	0.400811
7.37123	0.395585
7.31895	0.390425
7.26868	0.385341
7.22024	0.380345
7.17357	0.375436
7.12861	0.37061
7.08528	0.365866
7.04354	0.361204
7.00325	0.356629
6.96435	0.35214
6.92677	0.347736
6.89045	0.343419
6.85531	0.339187
6.82131	0.335039
6.78842	0.33097
6.75662	0.326979
6.72585	0.323063
6.69607	0.319222
6.66724	0.315454
6.6393	0.31176
6.61217	0.308142
6.58573	0.304604
6.55995	0.301148
6.53481	0.297766
6.51035	0.294454
6.48659	0.291204
6.46349	0.288017
6.44104	0.284891
6.4192	0.281824
6.39796	0.278815
6.37728	0.275864
6.35714	0.272968
6.33753	0.270126
6.31842	0.267338
6.29979	0.264602
6.28163	0.261917
6.26392	0.259282
6.24664	0.256695
6.22977	0.254156
6.21331	0.251663
6.19724	0.249215
6.18153	0.246811
6.16619	0.244451
6.1512	0.242132
6.13655	0.239854
6.12222	0.237617
6.1082	0.235419
6.09449	0.233259
6.08108	0.231136
6.06795	0.22905
6.0551	0.226999
6.04251	0.224983
6.03019	0.223001
6.01811	0.221052
6.00628	0.219136
5.99469	0.217251
