gen	fitness
0	13.417
1	12.3768
2	11.5658
3	10.5906
4	9.65558
5	9.1689
6	9.11954
7	9.03442
8	8.48364
9	8.2132
10	8.0156
11	7.8333
12	7.78223
13	7.39829
14	7.2926
15	7.06332
16	6.91147
17	6.76363
18	6.59538
19	6.59538
20	6.4445
21	6.30735
22	6.29517
23	6.05608
24	6.01694
25	5.98167
26	5.98167
27	5.60963
28	5.60963
29	5.51565
30	5.48475
31	5.4248
32	5.39077
33	5.38191
34	5.29187
35	5.27625
36	5.23693
37	5.17735
38	5.17735
39	5.14568
40	4.95996
41	4.95996
42	4.93669
43	4.9245
44	4.9245
45	4.9245
46	4.91483
47	4.91483
48	4.90488
49	4.90488
50	4.90488
51	4.83122
52	4.82155
53	4.82155
54	4.82155
55	4.82155
56	4.82155
57	4.82155
58	4.82155
59	4.82155
60	4.82155
61	4.82155
62	4.82155
63	4.82155
64	4.82155
65	4.82155
66	4.82155
67	4.82155
68	4.82155
69	4.82155
70	4.82155
71	4.82155
72	4.82155
73	4.82155
74	4.82155
75	4.82155
76	4.82155
77	4.82155
78	4.82155
79	4.82155
80	4.82155
81	4.82155
82	4.82155
83	4.82155
84	4.82155
85	4.82155
86	4.82155
87	4.82155
88	4.82155
89	4.82155
90	4.82155
91	4.82155
92	4.82155
93	4.82155
94	4.82155
95	4.82155
96	4.82155
97	4.82155
98	4.82155
99	4.82155
100	4.82155
