Mean 	 Error
0.999217	0
0.999213	2.22145e-06
0.999317	8.49462e-05
0.999532	0.000196644
0.999643	0.000185769
0.999697	0.000162461
0.999715	0.000140228
0.999722	0.0001229
0.999726	0.000109325
0.999727	9.83934e-05
0.999727	8.94487e-05
0.999733	8.21879e-05
0.999746	7.68425e-05
0.999754	7.18428e-05
0.999765	6.78364e-05
0.999775	6.43771e-05
0.999783	6.1043e-05
0.99979	5.81237e-05
0.999797	5.54194e-05
0.999802	5.28445e-05
0.999806	5.05398e-05
0.999808	4.8267e-05
0.999809	4.61726e-05
0.999811	4.43201e-05
0.999813	4.25813e-05
0.999815	4.09847e-05
0.999815	3.94675e-05
0.999815	3.80595e-05
0.999815	3.67505e-05
0.999814	3.5529e-05
0.999814	3.43833e-05
0.999813	3.33431e-05
0.999812	3.23434e-05
0.999812	3.13935e-05
0.999812	3.0499e-05
0.999812	2.96542e-05
0.999812	2.88533e-05
0.999811	2.81035e-05
0.99981	2.74031e-05
0.999809	2.67307e-05
0.999807	2.61345e-05
0.999806	2.55478e-05
0.999804	2.50263e-05
0.999802	2.45366e-05
0.9998	2.40785e-05
0.999798	2.36261e-05
0.999796	2.31917e-05
0.999795	2.27549e-05
0.999794	2.23127e-05
0.999793	2.1908e-05
0.999792	2.15007e-05
0.999791	2.11047e-05
0.99979	2.07336e-05
0.999789	2.03844e-05
0.999787	2.00629e-05
0.999786	1.97458e-05
0.999785	1.94147e-05
0.999784	1.9093e-05
0.999784	1.87842e-05
0.999783	1.84836e-05
0.999783	1.8182e-05
0.999782	1.78895e-05
0.999782	1.76128e-05
0.999781	1.73469e-05
0.999781	1.70851e-05
0.999781	1.68318e-05
0.99978	1.65835e-05
0.99978	1.63409e-05
0.99978	1.61048e-05
0.99978	1.58749e-05
0.99978	1.56524e-05
0.99978	1.54351e-05
0.99978	1.52272e-05
0.99978	1.50278e-05
0.999781	1.48358e-05
0.999782	1.46503e-05
0.999782	1.44724e-05
0.999783	1.43019e-05
0.999784	1.41474e-05
0.999785	1.4003e-05
0.999786	1.38621e-05
0.999787	1.37344e-05
0.999788	1.36087e-05
0.999789	1.34941e-05
0.99979	1.338e-05
0.999791	1.32589e-05
0.999792	1.3143e-05
0.999793	1.30313e-05
0.999794	1.29143e-05
0.999795	1.2809e-05
0.999796	1.27072e-05
0.999797	1.26077e-05
0.999798	1.25103e-05
0.999799	1.2411e-05
0.9998	1.23254e-05
0.999801	1.22364e-05
0.999802	1.21409e-05
0.999802	1.20452e-05
0.999803	1.19646e-05
0.999804	1.18894e-05
