Mean 	 Error
1.00045	0
1.00035	7.50449e-05
1.00033	5.19376e-05
1.00027	6.35051e-05
1.00024	5.98872e-05
1.00021	5.34399e-05
1.00018	5.77438e-05
1.00014	6.32914e-05
1.00011	6.27379e-05
1.00008	6.17277e-05
1.00006	6.09985e-05
1.00004	5.77083e-05
1.00002	5.54304e-05
1.00001	5.31847e-05
1	5.06745e-05
0.999992	4.80662e-05
0.999986	4.56148e-05
0.99998	4.35394e-05
0.999975	4.15655e-05
0.999973	3.95377e-05
0.999971	3.7675e-05
0.99997	3.59884e-05
0.99997	3.44254e-05
0.999968	3.30214e-05
0.999967	3.17304e-05
0.999965	3.05375e-05
0.999965	2.94119e-05
0.999964	2.83846e-05
0.999963	2.74092e-05
0.999962	2.65065e-05
0.999963	2.5652e-05
0.999964	2.48798e-05
0.999966	2.41837e-05
0.999967	2.35464e-05
0.999969	2.29495e-05
0.999971	2.23813e-05
0.999973	2.18322e-05
0.999974	2.12891e-05
0.999975	2.0754e-05
0.999975	2.02359e-05
0.999975	1.97424e-05
0.999975	1.92726e-05
0.999974	1.88249e-05
0.999975	1.83987e-05
0.999975	1.79951e-05
0.999976	1.7619e-05
0.999976	1.72572e-05
0.999977	1.6904e-05
0.999978	1.65726e-05
0.999979	1.62641e-05
0.999979	1.59668e-05
0.99998	1.56886e-05
0.999981	1.54318e-05
0.999982	1.51749e-05
0.999983	1.49206e-05
0.999984	1.46651e-05
0.999984	1.44216e-05
0.999985	1.41868e-05
0.999986	1.39667e-05
0.999987	1.37569e-05
0.999987	1.35556e-05
0.999988	1.33588e-05
0.999989	1.31721e-05
0.99999	1.29913e-05
0.999991	1.28158e-05
0.999991	1.26472e-05
0.999992	1.24839e-05
0.999993	1.23283e-05
0.999994	1.21735e-05
0.999995	1.202e-05
0.999995	1.18782e-05
0.999996	1.1732e-05
0.999997	1.15885e-05
0.999997	1.14482e-05
0.999998	1.13127e-05
0.999998	1.11807e-05
0.999999	1.10448e-05
0.999999	1.09134e-05
1	1.07782e-05
1	1.06451e-05
1	1.05155e-05
1	1.0388e-05
1	1.02633e-05
1	1.01414e-05
1	1.00235e-05
1	9.9117e-06
1	9.80269e-06
1	9.70188e-06
1	9.60476e-06
1	9.51369e-06
1	9.42153e-06
1	9.3315e-06
1	9.24582e-06
1	9.15793e-06
1	9.07121e-06
1.00001	8.98255e-06
1.00001	8.90004e-06
1.00001	8.81787e-06
1.00001	8.74028e-06
1.00001	8.66642e-06
