Mean 	 Error
0.999915	0
0.999981	4.64783e-05
0.999991	3.20151e-05
0.999984	2.4744e-05
0.999982	1.98306e-05
0.999986	1.68841e-05
0.99999	1.48256e-05
0.999988	1.30451e-05
0.99999	1.17712e-05
0.999992	1.06699e-05
0.999995	1.0207e-05
0.999996	9.37081e-06
0.999996	8.66137e-06
0.999996	8.04533e-06
0.999995	7.55826e-06
0.999994	7.11297e-06
0.999994	6.71796e-06
0.999994	6.34543e-06
0.999994	6.04892e-06
0.999995	5.7502e-06
0.999995	5.47733e-06
0.999995	5.24644e-06
0.999995	5.01863e-06
0.999995	4.80971e-06
0.999995	4.62668e-06
0.999995	4.45447e-06
0.999994	4.29103e-06
0.999994	4.14116e-06
0.999994	4.00697e-06
0.999994	3.88262e-06
0.999994	3.75887e-06
0.999994	3.64429e-06
0.999993	3.54337e-06
0.999993	3.44283e-06
0.999993	3.34544e-06
0.999993	3.25701e-06
0.999993	3.16905e-06
0.999993	3.08595e-06
0.999994	3.00983e-06
0.999994	2.93896e-06
0.999994	2.87209e-06
0.999994	2.81092e-06
0.999994	2.75033e-06
0.999995	2.70924e-06
0.999995	2.67293e-06
0.999995	2.64092e-06
0.999996	2.61833e-06
0.999996	2.59561e-06
0.999997	2.5724e-06
0.999997	2.5443e-06
0.999997	2.51817e-06
0.999998	2.49511e-06
0.999998	2.47101e-06
0.999998	2.44095e-06
0.999999	2.41517e-06
0.999999	2.39049e-06
0.999999	2.36439e-06
0.999999	2.33502e-06
1	2.30834e-06
1	2.28349e-06
1	2.26288e-06
1	2.24019e-06
1	2.22079e-06
1	2.19885e-06
1	2.17201e-06
1	2.14803e-06
1	2.12318e-06
1	2.10183e-06
1	2.0824e-06
1	2.05988e-06
1	2.03601e-06
1	2.01273e-06
1	1.99018e-06
1	1.96564e-06
1	1.943e-06
1	1.91923e-06
1	1.89695e-06
1	1.87463e-06
1	1.8519e-06
1	1.83e-06
1	1.80992e-06
1	1.78879e-06
1	1.77e-06
1	1.75184e-06
1	1.73536e-06
1	1.7198e-06
1	1.7033e-06
1	1.68642e-06
1	1.66954e-06
1	1.65294e-06
1	1.63637e-06
1	1.6202e-06
1	1.60497e-06
1	1.59072e-06
1	1.57691e-06
1	1.56299e-06
1	1.54868e-06
1	1.53425e-06
1	1.51941e-06
1	1.50455e-06
