Mean	Error
0	0
3	0
4.25155	0.0132822
5.20055	0.0166163
6.03383	0.0212116
6.73772	0.0244218
7.36193	0.0296335
7.93055	0.0322296
8.48538	0.0354291
8.98983	0.0360367
9.47664	0.0368164
9.93747	0.0382539
10.3915	0.0398045
10.8263	0.0437357
11.2119	0.0479188
11.6105	0.0460416
11.9378	0.0481131
12.2825	0.0512092
12.6624	0.0516502
13.02	0.0555559
13.3594	0.055371
13.7098	0.0571501
14.0436	0.0596964
14.3474	0.0567653
14.6586	0.0578567
14.9733	0.0591445
15.3057	0.0552406
15.601	0.0560975
15.9054	0.0582861
16.1778	0.0590786
16.469	0.0633636
16.7375	0.0615983
16.9961	0.0641465
17.2936	0.066965
17.5676	0.0697377
17.7871	0.0703807
18.0199	0.070868
18.2816	0.0737579
18.5159	0.0730752
18.7672	0.0769053
19.0005	0.0812454
19.2222	0.0799864
19.4573	0.0807485
19.6993	0.0818604
19.9237	0.0846233
20.1371	0.0852688
20.3422	0.0856593
20.5576	0.0864097
20.7792	0.0871771
21.0043	0.0877694
21.2188	0.0887825
21.4588	0.0883001
21.6998	0.0894218
21.9087	0.0902274
22.1172	0.094625
22.3446	0.0979894
22.5686	0.0983586
22.7742	0.100657
22.9585	0.0996315
23.1561	0.100992
23.3785	0.102966
23.551	0.104206
23.7182	0.10698
23.8773	0.104317
24.0747	0.104839
24.2655	0.10383
24.4756	0.102827
24.6587	0.10275
24.8237	0.102076
25.0068	0.103727
25.1831	0.105023
25.3541	0.102925
25.509	0.10461
25.6897	0.104951
25.8297	0.104655
25.9961	0.107937
26.1682	0.108607
26.3381	0.109292
26.5049	0.108522
26.6774	0.112266
26.8416	0.111463
26.9877	0.112421
27.1605	0.114292
27.3169	0.113759
27.4389	0.112204
27.5778	0.110672
27.7528	0.11079
27.8721	0.114252
28.0693	0.116417
28.2036	0.117823
28.3648	0.118401
28.5065	0.117061
28.6599	0.119931
28.8427	0.120005
28.9796	0.122234
29.1273	0.121286
29.2812	0.123368
29.4305	0.124469
29.5384	0.122963
29.6956	0.126371
29.8098	0.12694
