Mean	Error
0	0
3	0
4.2454	0.0114816
5.20377	0.0194004
6.01633	0.023083
6.70324	0.0254227
7.33805	0.0274691
7.89633	0.032516
8.43091	0.0328179
8.96373	0.0367722
9.43251	0.0373227
9.8849	0.0378111
10.3142	0.040757
10.7669	0.0441398
11.1987	0.0464981
11.591	0.0488245
11.9505	0.0503613
12.3545	0.050964
12.7212	0.0518775
13.0556	0.0525434
13.4076	0.0549158
13.7705	0.0562986
14.1065	0.0583861
14.4121	0.0580006
14.7104	0.0588372
14.9996	0.0573223
15.2742	0.0583313
15.5548	0.060459
15.8337	0.0624343
16.1283	0.0667583
16.3976	0.0659081
16.6858	0.0640648
16.968	0.0675321
17.1929	0.0663889
17.4643	0.0693274
17.7235	0.0680675
17.9582	0.0673069
18.1883	0.0693493
18.4157	0.0703865
18.6502	0.0747174
18.8981	0.0766083
19.1332	0.074648
19.3773	0.0747878
19.6003	0.0739441
19.8158	0.0749354
20.0454	0.0781656
20.2835	0.077916
20.4815	0.0774979
20.6976	0.0781285
20.9159	0.0784277
21.1456	0.0808247
21.3628	0.0829071
21.5564	0.0818609
21.7731	0.0835567
21.9715	0.0861511
22.1718	0.0873233
22.3575	0.0897975
22.5471	0.0924789
22.7158	0.0933534
22.9127	0.0920915
23.1222	0.0921598
23.3385	0.0939735
23.5381	0.0963063
23.7409	0.0930366
23.9448	0.0939886
24.105	0.0921097
24.2636	0.0928568
24.4513	0.0955082
24.6451	0.0964398
24.7909	0.0956309
25.0014	0.0968865
25.1831	0.100629
25.3641	0.101593
25.5484	0.100717
25.7436	0.100817
25.9334	0.101853
26.1152	0.103354
26.2808	0.106242
26.4401	0.107709
26.5735	0.109761
26.7183	0.111943
26.8465	0.11203
27.0008	0.109601
27.1633	0.10917
27.3435	0.110882
27.4867	0.109928
27.6485	0.107143
27.8045	0.110207
27.9716	0.109073
28.1252	0.110983
28.2823	0.111281
28.4243	0.113199
28.5579	0.111928
28.7449	0.111165
28.9086	0.1148
29.0851	0.115579
29.24	0.116848
29.3699	0.118567
29.5052	0.119096
29.6504	0.120434
29.8202	0.125346
