Mean 	 Error
16.3212	0
14.889	1.01277
15.5461	0.862395
14.7829	0.924738
15.2513	0.850153
15.5398	0.755831
15.6989	0.664398
15.594	0.589575
15.8518	0.57768
15.4694	0.633949
15.3921	0.581007
15.2424	0.551559
14.9487	0.582086
14.9762	0.541158
14.8974	0.510791
15.0166	0.492584
15.4073	0.598824
15.4114	0.56557
15.2997	0.546719
15.2451	0.522106
15.301	0.500225
15.1795	0.492017
15.231	0.47331
15.1761	0.456755
15.2716	0.448358
15.1411	0.449701
15.078	0.437455
15.2112	0.441653
15.2957	0.43442
15.1897	0.432657
15.1944	0.418725
15.2297	0.407122
15.2644	0.396264
15.2578	0.384664
15.2258	0.375004
15.1774	0.367693
15.1911	0.358009
15.102	0.359489
15.1816	0.358959
15.0933	0.360685
15.1739	0.360789
15.117	0.35665
15.146	0.349533
15.0834	0.347149
15.0072	0.347702
15.0423	0.341912
15.0303	0.334849
14.9815	0.331404
15.0444	0.330547
15.0451	0.323937
15.1124	0.324497
15.082	0.319682
15.0302	0.317808
14.9767	0.316409
14.9593	0.311133
14.984	0.306556
14.98	0.301204
15.0108	0.297579
14.9818	0.29395
14.936	0.292586
14.959	0.288688
14.941	0.284589
14.9126	0.281492
15.0002	0.290405
14.9785	0.286747
14.9756	0.282417
14.9465	0.279694
14.9504	0.275608
14.9489	0.271618
14.9687	0.268458
14.9655	0.264697
14.9548	0.261235
14.9687	0.258026
14.9594	0.254707
14.9255	0.253564
14.9631	0.253007
15.0337	0.259392
15.0248	0.25622
15.0036	0.25385
14.9784	0.25193
14.9533	0.250067
14.9336	0.247791
14.9611	0.246323
14.9735	0.243703
14.9519	0.241786
14.9514	0.238975
14.9957	0.240301
14.988	0.237693
14.9825	0.235087
14.9656	0.233076
14.9373	0.232236
14.9148	0.230798
14.9192	0.228359
14.9112	0.226072
14.934	0.224844
14.9401	0.222584
14.9179	0.22139
14.8951	0.220307
14.8751	0.218987
14.8794	0.21684
