Mean 	 Error
3.95067	0
4.9805	0.728198
5.51169	0.650988
5.07343	0.618409
5.26841	0.524563
5.31974	0.43964
5.3698	0.379675
5.40151	0.333537
5.46549	0.302551
5.50927	0.275445
5.4767	0.252322
5.63154	0.274727
5.59226	0.256386
5.60468	0.238374
5.61221	0.222601
5.56204	0.214267
5.56466	0.201679
5.51749	0.195913
5.54131	0.187044
5.48222	0.186793
5.51419	0.180614
5.53608	0.173726
5.48607	0.173221
5.4719	0.166583
5.47345	0.159926
5.48094	0.153951
5.44163	0.153188
5.43401	0.147906
5.42408	0.143139
5.4596	0.142708
5.49487	0.142395
5.54863	0.147746
5.51857	0.146296
5.5103	0.142227
5.49811	0.138684
5.53134	0.138758
5.51774	0.135672
5.5378	0.133576
5.54717	0.130479
5.5771	0.130606
5.60667	0.130723
5.59783	0.12791
5.61057	0.125568
5.6061	0.122794
5.60081	0.120179
5.58118	0.119158
5.58154	0.116623
5.59214	0.114674
5.60142	0.112709
5.56701	0.115586
5.5658	0.113326
5.55497	0.111662
5.54602	0.109914
5.53193	0.108779
5.52999	0.106818
5.54243	0.105632
5.52697	0.104904
5.53696	0.10357
5.54785	0.102386
5.54237	0.100826
5.54835	0.0993502
5.54521	0.0977974
5.54163	0.0963104
5.53922	0.0948358
5.5213	0.0950535
5.50241	0.095472
5.52569	0.0968433
5.52854	0.0954611
5.53849	0.0945945
5.52919	0.0936989
5.5354	0.0925846
5.52084	0.0924366
5.52058	0.0911707
5.51576	0.0900663
5.50812	0.0891885
5.49376	0.0891642
5.50787	0.0891161
5.51832	0.088584
5.52736	0.0879228
5.53265	0.0869829
5.5331	0.0859102
5.53523	0.0848891
5.53667	0.0838785
5.51627	0.0853258
5.52991	0.0854048
5.54303	0.085414
5.52309	0.0867282
5.52331	0.085743
5.51525	0.0851576
5.51015	0.0843642
5.50292	0.0837461
5.51823	0.0842233
5.49917	0.0854473
5.51619	0.0862178
5.54488	0.089957
5.54653	0.0890349
5.55031	0.0881975
5.54508	0.0874526
5.54463	0.0865704
5.54663	0.085728
