Block	Mean	Prog_mean	Error
1	1.54158	1.54158	0
2	1.75118	1.64638	0.0741049
3	1.75315	1.68197	0.0573159
4	1.76238	1.70208	0.0463785
5	1.76116	1.71389	0.0385791
6	1.75359	1.72051	0.0327115
7	1.80891	1.73314	0.0303783
8	1.81635	1.74354	0.0283058
9	1.81415	1.75138	0.0262256
10	1.86186	1.76243	0.0258253
11	1.85969	1.77127	0.0249453
12	1.83887	1.77691	0.023494
13	1.81551	1.77988	0.0218737
14	1.81846	1.78263	0.0204842
15	1.81701	1.78493	0.0192463
16	1.82053	1.78715	0.0181717
17	1.84874	1.79077	0.0174602
18	1.84211	1.79363	0.0167215
19	1.86392	1.79733	0.0162455
20	1.85785	1.80035	0.0157126
21	1.84363	1.80241	0.0150989
22	1.80541	1.80255	0.0144132
23	1.81244	1.80298	0.013793
24	1.81762	1.80359	0.0132318
25	1.87867	1.80659	0.0130388
26	1.85403	1.80842	0.0126644
27	1.83412	1.80937	0.0122311
28	1.81214	1.80947	0.0117946
29	1.86178	1.81127	0.011525
30	1.82611	1.81177	0.0111515
