Block	Mean	Prog_mean	Error
1	-0.111723	-0.111723	0
2	-0.32156	-0.216641	0.0741888
3	-0.323495	-0.252259	0.0573756
4	-0.332746	-0.272381	0.0464262
5	-0.33156	-0.284217	0.0386202
6	-0.323923	-0.290834	0.0327456
7	-0.37929	-0.303471	0.0304082
8	-0.386709	-0.313876	0.0283315
9	-0.384757	-0.321751	0.0262554
10	-0.432371	-0.332813	0.0258554
11	-0.430162	-0.341663	0.0249736
12	-0.409312	-0.347301	0.0235201
13	-0.385795	-0.350262	0.0218965
14	-0.388743	-0.35301	0.0205042
15	-0.387391	-0.355302	0.019265
16	-0.391014	-0.357534	0.0181898
17	-0.419255	-0.361165	0.0174783
18	-0.41255	-0.36402	0.0167388
19	-0.434214	-0.367714	0.0162604
20	-0.42806	-0.370732	0.0157249
21	-0.413823	-0.372783	0.0151093
22	-0.375661	-0.372914	0.0144231
23	-0.382658	-0.373338	0.0138023
24	-0.387942	-0.373946	0.0132406
25	-0.449025	-0.37695	0.0130471
26	-0.42438	-0.378774	0.0126722
27	-0.404599	-0.37973	0.0122389
28	-0.382691	-0.379836	0.0118022
29	-0.432325	-0.381646	0.0115332
30	-0.396634	-0.382146	0.0111596
