Block	Mean	Prog_mean	Error
1	1.42986	1.42986	0
2	1.42962	1.42974	8.39067e-05
3	1.42966	1.42971	6.04087e-05
4	1.42964	1.4297	4.81802e-05
5	1.4296	1.42968	4.18211e-05
6	1.42966	1.42967	3.49203e-05
7	1.42962	1.42967	3.08917e-05
8	1.42964	1.42966	2.72025e-05
9	1.4294	1.42963	3.70051e-05
10	1.42949	1.42962	3.59934e-05
11	1.42953	1.42961	3.35845e-05
12	1.42956	1.42961	3.10294e-05
13	1.42972	1.42962	2.98367e-05
14	1.42972	1.42962	2.85733e-05
15	1.42962	1.42962	2.66685e-05
16	1.42952	1.42962	2.57782e-05
17	1.42949	1.42961	2.53875e-05
18	1.42956	1.42961	2.4123e-05
19	1.42971	1.42961	2.34388e-05
20	1.42979	1.42962	2.39802e-05
21	1.42981	1.42963	2.44162e-05
22	1.42975	1.42963	2.38712e-05
23	1.42978	1.42964	2.36888e-05
24	1.42968	1.42964	2.27491e-05
25	1.42964	1.42964	2.18392e-05
26	1.42965	1.42964	2.10037e-05
27	1.42952	1.42964	2.07065e-05
28	1.42945	1.42963	2.10867e-05
29	1.42945	1.42963	2.1227e-05
30	1.42948	1.42962	2.10946e-05
