Block	Mean	Prog_mean	Error
1	0.0466664	0.0466664	0
2	0.0518023	0.0492343	0.00181583
3	0.0463058	0.0482581	0.00144939
4	0.0492379	0.0485031	0.00110754
5	0.0507781	0.0489581	0.000975031
6	0.0471219	0.0486521	0.000859213
7	0.054015	0.0494182	0.0010225
8	0.0505561	0.0495604	0.000904522
9	0.0504583	0.0496602	0.000809503
10	0.0491784	0.049612	0.000729985
11	0.0461846	0.0493004	0.000727087
12	0.0484898	0.0492329	0.000669627
13	0.048746	0.0491954	0.000619164
14	0.0533615	0.049493	0.00064248
15	0.0513316	0.0496156	0.000611228
16	0.0527535	0.0498117	0.00060367
17	0.0521192	0.0499474	0.00058322
18	0.0525706	0.0500932	0.000568735
19	0.0520896	0.0501982	0.000548422
20	0.0506183	0.0502192	0.000521403
21	0.0521001	0.0503088	0.000504209
22	0.0536203	0.0504593	0.000503257
23	0.0523173	0.0505401	0.000487817
24	0.0502678	0.0505288	0.000467623
25	0.0577651	0.0508182	0.000530999
26	0.0504439	0.0508038	0.000510771
27	0.0522855	0.0508587	0.000494793
28	0.0502595	0.0508373	0.000477584
29	0.051247	0.0508514	0.000461325
30	0.0527115	0.0509134	0.000450095
