Block	Mean	Prog_mean	Error
1	1.02772	1.02772	0
2	1.16746	1.09759	0.0494033
3	1.16877	1.12132	0.0382106
4	1.17492	1.13472	0.030919
5	1.17411	1.1426	0.0257194
6	1.16906	1.14701	0.0218076
7	1.20594	1.15542	0.0202522
8	1.2109	1.16236	0.0188705
9	1.20943	1.16759	0.0174837
10	1.24124	1.17495	0.0172169
11	1.2398	1.18085	0.0166302
12	1.22592	1.18461	0.0156627
13	1.21034	1.18658	0.0145825
14	1.21231	1.18842	0.0136561
15	1.21134	1.18995	0.0128309
16	1.21369	1.19143	0.0121144
17	1.23249	1.19385	0.0116401
18	1.22807	1.19575	0.0111476
19	1.24261	1.19822	0.0108304
20	1.23857	1.20023	0.0104751
21	1.22909	1.20161	0.010066
22	1.2036	1.2017	0.00960883
23	1.20829	1.20199	0.00919533
24	1.21175	1.20239	0.00882118
25	1.25244	1.20439	0.00869256
26	1.23602	1.20561	0.00844292
27	1.22275	1.20625	0.00815403
28	1.20809	1.20631	0.00786309
29	1.24119	1.20751	0.00768335
30	1.21741	1.20784	0.00743431
