Block	Mean	Prog_mean	Error
1	1.69514	1.69514	0
2	1.65947	1.6773	0.012614
3	1.64746	1.66736	0.0116907
4	1.65359	1.66392	0.00926106
5	1.68099	1.66733	0.00801393
6	1.66999	1.66777	0.00669055
7	1.65645	1.66616	0.00592701
8	1.6418	1.66311	0.00591649
9	1.61266	1.65751	0.0074558
10	1.68061	1.65982	0.00705913
11	1.64969	1.6589	0.00647715
12	1.6501	1.65816	0.00597873
13	1.63209	1.65616	0.00584563
14	1.64249	1.65518	0.00550896
15	1.67275	1.65635	0.00526474
16	1.66762	1.65706	0.00498253
17	1.65618	1.65701	0.0046897
18	1.63329	1.65569	0.00461058
19	1.65796	1.65581	0.00436947
20	1.59771	1.6529	0.00502474
