Block	Mean	Prog_mean	Error
1	-5.07284	-5.07284	0
2	-5.03912	-5.05598	0.0119243
3	-5.02392	-5.04529	0.0118031
4	-5.03188	-5.04194	0.00931653
5	-5.05857	-5.04527	0.0080252
6	-5.04882	-5.04586	0.00670942
7	-5.03452	-5.04424	0.00594316
8	-5.01842	-5.04101	0.00601328
9	-4.99164	-5.03553	0.00743812
10	-5.05833	-5.03781	0.00703531
11	-5.03041	-5.03713	0.00642776
12	-5.02921	-5.03647	0.00592596
13	-5.01131	-5.03454	0.00577766
14	-5.01979	-5.03349	0.00546012
15	-5.05132	-5.03467	0.005224
16	-5.04498	-5.03532	0.00493705
17	-5.03227	-5.03514	0.0046499
18	-5.01077	-5.03379	0.00458437
19	-5.03591	-5.0339	0.00434445
20	-4.97585	-5.03099	0.00500366
