Block	Mean	Prog_mean	Error
1	-3.3777	-3.3777	0
2	-3.37965	-3.37868	0.000689646
3	-3.37646	-3.37794	0.000758423
4	-3.37829	-3.37803	0.000574033
5	-3.37758	-3.37794	0.00046604
6	-3.37882	-3.37809	0.000411091
7	-3.37807	-3.37808	0.000352369
8	-3.37661	-3.3779	0.000352949
9	-3.37897	-3.37802	0.000333268
10	-3.37772	-3.37799	0.000301256
11	-3.38072	-3.37824	0.000362156
12	-3.37911	-3.37831	0.000339175
13	-3.37922	-3.37838	0.000320223
14	-3.3773	-3.3783	0.000306504
15	-3.37857	-3.37832	0.000286593
16	-3.37736	-3.37826	0.000274848
17	-3.37609	-3.37813	0.000286825
18	-3.37749	-3.3781	0.000273127
19	-3.37796	-3.37809	0.000258854
20	-3.37814	-3.37809	0.000245925
