Block	Mean	Prog_mean	Error
1	1.81535	1.81535	0
2	1.98968	1.90251	0.0616355
3	2.13621	1.98041	0.0757231
4	2.14557	2.0217	0.067112
5	1.98296	2.01395	0.054135
6	1.97573	2.00758	0.0454857
7	2.11658	2.02315	0.0415677
8	2.14638	2.03856	0.0391216
9	2.28792	2.06626	0.0434933
10	2.03699	2.06334	0.0392424
11	2.03367	2.06064	0.0357675
12	2.02706	2.05784	0.0328961
13	2.22897	2.07101	0.0328941
14	2.13405	2.07551	0.0308512
15	2.0909	2.07653	0.0288115
16	2.10571	2.07836	0.0270685
17	2.10707	2.08005	0.0255289
18	2.24262	2.08908	0.0256586
19	2.09537	2.08941	0.0243103
20	2.33325	2.1016	0.0259728
