Block	Mean	Prog_mean	Error
1	1.1301	1.1301	0
2	1.10631	1.1182	0.00840931
3	1.09831	1.11157	0.00779383
4	1.10239	1.10928	0.00617404
5	1.12066	1.11155	0.00534262
6	1.11333	1.11185	0.00446037
7	1.1043	1.11077	0.00395134
8	1.09454	1.10874	0.00394432
9	1.07511	1.105	0.00497054
10	1.12041	1.10655	0.00470609
11	1.09979	1.10593	0.0043181
12	1.10007	1.10544	0.00398582
13	1.08806	1.10411	0.00389709
14	1.095	1.10345	0.00367264
15	1.11517	1.10424	0.00350983
16	1.11174	1.1047	0.00332168
17	1.10412	1.10467	0.00312647
18	1.08886	1.10379	0.00307372
19	1.1053	1.10387	0.00291298
20	1.06514	1.10193	0.00334983
