Block	Mean	Prog_mean	Error
1	1.20064	1.20064	0
2	1.2023	1.20147	0.000586852
3	1.19466	1.1992	0.0018959
4	1.19819	1.19895	0.00143861
5	1.2091	1.20098	0.00215049
6	1.20449	1.20156	0.00186991
7	1.20524	1.20209	0.00167502
8	1.20015	1.20185	0.00148312
9	1.20446	1.20214	0.00134654
10	1.2065	1.20257	0.00128059
11	1.20136	1.20246	0.00116889
12	1.19626	1.20195	0.00118033
13	1.20472	1.20216	0.00110859
14	1.20037	1.20203	0.00103676
15	1.20302	1.2021	0.000969752
16	1.2052	1.20229	0.000928364
17	1.19903	1.2021	0.000893411
18	1.19848	1.2019	0.000866149
19	1.20128	1.20187	0.000821169
20	1.20705	1.20213	0.000819951
