Block	Mean	Prog_mean	Error
1	-6.65728	-6.65728	0
2	-6.65781	-6.65754	0.000187536
3	-6.64997	-6.65502	0.00206616
4	-6.65383	-6.65472	0.00157069
5	-6.66456	-6.65669	0.00216166
6	-6.66016	-6.65727	0.00187705
7	-6.66059	-6.65774	0.00166771
8	-6.65628	-6.65756	0.00146923
9	-6.65953	-6.65778	0.00132225
10	-6.66135	-6.65814	0.00123728
11	-6.65693	-6.65803	0.0011296
12	-6.65111	-6.65745	0.00117332
13	-6.6604	-6.65768	0.00110477
14	-6.65517	-6.6575	0.00104029
15	-6.65751	-6.6575	0.000970938
16	-6.6606	-6.65769	0.000929362
17	-6.65512	-6.65754	0.000886928
18	-6.65326	-6.6573	0.000868914
19	-6.65619	-6.65724	0.00082515
20	-6.66244	-6.6575	0.000823722
