Block	Mean	Prog_mean	Error
1	-5.45664	-5.45664	0
2	-5.45551	-5.45607	0.000399316
3	-5.45531	-5.45582	0.000337391
4	-5.45564	-5.45577	0.000255867
5	-5.45545	-5.45571	0.000212662
6	-5.45567	-5.4557	0.000177332
7	-5.45534	-5.45565	0.000159278
8	-5.45613	-5.45571	0.000150215
9	-5.45507	-5.45564	0.000149591
10	-5.45485	-5.45556	0.000154187
11	-5.45557	-5.45556	0.000140172
12	-5.45485	-5.4555	0.000140458
13	-5.45568	-5.45552	0.000130332
14	-5.4548	-5.45547	0.000130687
15	-5.45448	-5.4554	0.000137422
16	-5.45539	-5.4554	0.000128834
17	-5.45609	-5.45544	0.000127549
18	-5.45478	-5.4554	0.000125552
19	-5.45491	-5.45538	0.00012162
20	-5.45539	-5.45538	0.00011554
