Block	Mean	Prog_mean	Error
1	9.64136	9.64136	0
2	9.62959	9.63548	0.00416145
3	9.66498	9.64531	0.00849613
4	9.64774	9.64592	0.00639378
5	9.59656	9.63605	0.0102036
6	9.61665	9.63282	0.00900072
7	9.59791	9.62783	0.00899089
8	9.62497	9.62747	0.00787412
9	9.6253	9.62723	0.00700291
10	9.59263	9.62377	0.00710635
11	9.63822	9.62508	0.00658061
12	9.67375	9.62914	0.007174
13	9.62267	9.62864	0.00663937
14	9.63372	9.629	0.00617501
15	9.65029	9.63042	0.00592415
16	9.61629	9.62954	0.00561937
17	9.64132	9.63023	0.00533138
18	9.64728	9.63118	0.00511857
19	9.62949	9.63109	0.00484994
20	9.60968	9.63002	0.00472415
