Block	Mean	Prog_mean	Error
1	0.800428	0.800428	0
2	0.801535	0.800982	0.000391235
3	0.796438	0.799467	0.00126393
4	0.798794	0.799299	0.000959074
5	0.806069	0.800653	0.00143366
6	0.802992	0.801043	0.00124661
7	0.803495	0.801393	0.00111668
8	0.800099	0.801231	0.000988747
9	0.802976	0.801425	0.000897695
10	0.804333	0.801716	0.00085373
11	0.800909	0.801643	0.00077926
12	0.797506	0.801298	0.000786887
13	0.803144	0.80144	0.000739058
14	0.800245	0.801355	0.000691176
15	0.802016	0.801399	0.000646501
16	0.803469	0.801528	0.000618909
17	0.799351	0.8014	0.000595607
18	0.798985	0.801266	0.000577432
19	0.800855	0.801244	0.000547446
20	0.804698	0.801417	0.000546634
