Block	Mean	Prog_mean	Error
1	1.82623	1.82623	0
2	1.85007	1.83815	0.00842931
3	1.88055	1.85229	0.012834
4	1.83606	1.84823	0.0102463
5	1.87141	1.85287	0.00918612
6	1.86582	1.85502	0.00790467
7	1.84942	1.85422	0.00681592
8	1.88534	1.85811	0.00698639
9	1.82382	1.8543	0.00717413
10	1.81552	1.85042	0.00743154
11	1.8119	1.84692	0.00753617
12	1.8145	1.84422	0.00737663
13	1.84435	1.84423	0.0068092
14	1.8678	1.84591	0.00652758
15	1.90503	1.84985	0.00718424
16	1.79693	1.84655	0.00745787
17	1.86018	1.84735	0.00706213
18	1.86473	1.84831	0.00673547
19	1.86874	1.84939	0.00646623
20	1.82961	1.8484	0.00621808
21	1.84567	1.84827	0.00592335
22	1.86491	1.84903	0.00570217
23	1.83309	1.84833	0.00549616
24	1.79616	1.84616	0.00568076
25	1.81806	1.84504	0.00556364
26	1.80141	1.84336	0.0055969
27	1.8363	1.8431	0.00539571
28	1.84121	1.84303	0.00520342
29	1.80994	1.84189	0.00514761
30	1.79686	1.84039	0.00519024
31	1.81671	1.83962	0.00507871
32	1.83411	1.83945	0.00492292
33	1.77562	1.83752	0.00513969
34	1.82173	1.83705	0.00500945
35	1.79347	1.83581	0.00501872
36	1.84131	1.83596	0.00488164
37	1.84823	1.83629	0.00476094
38	1.81671	1.83578	0.00466346
39	1.85524	1.83628	0.00457051
40	1.8223	1.83593	0.00446958
41	1.78009	1.83456	0.00456329
42	1.83102	1.83448	0.00445542
43	1.81987	1.83414	0.00436474
44	1.79571	1.83327	0.00435204
45	1.82152	1.83301	0.00426315
46	1.85956	1.83358	0.00420939
47	1.80329	1.83294	0.00416888
48	1.83878	1.83306	0.0040838
49	1.80533	1.83249	0.00403949
50	1.79976	1.83184	0.00401139
51	1.82849	1.83177	0.00393327
52	1.78449	1.83086	0.00396137
53	1.75255	1.82939	0.00415309
54	1.75118	1.82794	0.00432134
55	1.76805	1.82685	0.00437782
56	1.77275	1.82588	0.00440493
57	1.787	1.8252	0.00438016
58	1.81635	1.82505	0.0043073
59	1.83922	1.82529	0.00424099
60	1.88311	1.82625	0.00427839
61	1.84003	1.82648	0.00421421
62	1.86319	1.82707	0.00418763
63	1.81975	1.82695	0.00412277
64	1.80404	1.8266	0.00407387
65	1.86683	1.82722	0.00405794
66	1.8114	1.82698	0.00400353
67	1.79734	1.82653	0.00396813
68	1.78869	1.82598	0.00394861
69	1.75293	1.82492	0.0040308
70	1.73011	1.82356	0.00419461
71	1.77817	1.82292	0.00418397
72	1.74964	1.82191	0.00424785
73	1.76498	1.82113	0.00426064
74	1.75239	1.8202	0.00430312
75	1.79905	1.81992	0.00425497
76	1.77421	1.81931	0.00424128
77	1.78434	1.81886	0.00421045
78	1.82074	1.81888	0.00415654
79	1.84553	1.81922	0.00411759
80	1.86055	1.81974	0.0040984
81	1.83658	1.81995	0.00405307
82	1.81018	1.81983	0.0040054
83	1.80307	1.81963	0.00396223
84	1.8324	1.81978	0.00391797
85	1.81926	1.81977	0.00387188
86	1.77777	1.81928	0.00385755
87	1.7818	1.81885	0.0038372
88	1.78406	1.81846	0.0038139
89	1.81753	1.81845	0.00377107
90	1.80052	1.81825	0.00373442
91	1.80274	1.81808	0.00369727
92	1.81484	1.81804	0.00365725
93	1.83545	1.81823	0.00362271
94	1.85422	1.81861	0.00360435
95	1.84822	1.81892	0.00357986
96	1.80866	1.81882	0.00354416
97	1.81158	1.81874	0.00350841
98	1.75942	1.81814	0.00352444
99	1.74512	1.8174	0.00356518
100	1.76477	1.81687	0.00356816
