Block	Mean	Prog_mean	Error
1	-0.397122	-0.397122	0
2	-0.420823	-0.408972	0.00837946
3	-0.451278	-0.423074	0.0127976
4	-0.406906	-0.419032	0.0102166
5	-0.442276	-0.423681	0.00917013
6	-0.436663	-0.425845	0.00789291
7	-0.420172	-0.425034	0.00680682
8	-0.456117	-0.42892	0.00697727
9	-0.394535	-0.425099	0.00717211
10	-0.386222	-0.421212	0.00743427
11	-0.38257	-0.417699	0.00754287
12	-0.385193	-0.41499	0.00738469
13	-0.41508	-0.414997	0.00681664
14	-0.438673	-0.416688	0.00653616
15	-0.475959	-0.420639	0.00719636
16	-0.367747	-0.417334	0.00746736
17	-0.431057	-0.418141	0.00707161
18	-0.435571	-0.419109	0.00674471
19	-0.439463	-0.42018	0.00647424
20	-0.400396	-0.419191	0.00622565
21	-0.416408	-0.419059	0.0059306
22	-0.435665	-0.419814	0.00570886
23	-0.403862	-0.41912	0.00550262
24	-0.366964	-0.416947	0.00568631
25	-0.388874	-0.415824	0.00556863
26	-0.37218	-0.414145	0.00560174
27	-0.407164	-0.413887	0.00540023
28	-0.412058	-0.413821	0.00520776
29	-0.380717	-0.41268	0.00515177
30	-0.367677	-0.41118	0.00519385
31	-0.387448	-0.410414	0.00508241
32	-0.404862	-0.410241	0.00492655
33	-0.346365	-0.408305	0.00514347
34	-0.392419	-0.407838	0.00501337
35	-0.364164	-0.40659	0.00502302
36	-0.412015	-0.406741	0.00488575
37	-0.418956	-0.407071	0.00476485
38	-0.387505	-0.406556	0.00466719
39	-0.426043	-0.407056	0.00457419
40	-0.392993	-0.406704	0.00447333
41	-0.35076	-0.40534	0.00456759
42	-0.401731	-0.405254	0.00445964
43	-0.390493	-0.40491	0.00436912
44	-0.366436	-0.404036	0.00435645
45	-0.392285	-0.403775	0.00426746
46	-0.430241	-0.40435	0.00421329
47	-0.373854	-0.403701	0.00417331
48	-0.409401	-0.40382	0.00408806
49	-0.375966	-0.403252	0.00404395
50	-0.370453	-0.402596	0.00401593
51	-0.399216	-0.402529	0.00393773
52	-0.355159	-0.401618	0.00396598
53	-0.323183	-0.400139	0.0041581
54	-0.321785	-0.398688	0.00432687
55	-0.338651	-0.397596	0.00438373
56	-0.3434	-0.396628	0.00441098
57	-0.357672	-0.395945	0.00438622
58	-0.38705	-0.395791	0.00431327
59	-0.409865	-0.39603	0.00424676
60	-0.453791	-0.396993	0.0042837
61	-0.41074	-0.397218	0.0042194
62	-0.43392	-0.39781	0.00419267
63	-0.390421	-0.397693	0.00412776
64	-0.37483	-0.397335	0.00407869
65	-0.437637	-0.397955	0.00406279
66	-0.382216	-0.397717	0.00400823
67	-0.368044	-0.397274	0.0039728
68	-0.359451	-0.396718	0.00395312
69	-0.323569	-0.395658	0.00403548
70	-0.300746	-0.394302	0.00419944
71	-0.348718	-0.39366	0.00418908
72	-0.320202	-0.39264	0.00425332
73	-0.335511	-0.391857	0.00426645
74	-0.322959	-0.390926	0.00430918
75	-0.369695	-0.390643	0.00426102
76	-0.344746	-0.390039	0.00424753
77	-0.354932	-0.389583	0.00421677
78	-0.391361	-0.389606	0.00416277
79	-0.416087	-0.389941	0.00412355
80	-0.431314	-0.390458	0.00410431
81	-0.407358	-0.390667	0.00405893
82	-0.380895	-0.390548	0.00401118
83	-0.373695	-0.390345	0.00396799
84	-0.403068	-0.390496	0.00392364
85	-0.389949	-0.39049	0.00387749
86	-0.348391	-0.39	0.00386318
87	-0.35242	-0.389568	0.00384285
88	-0.354776	-0.389173	0.00381946
89	-0.388382	-0.389164	0.00377656
90	-0.371388	-0.388966	0.00373976
91	-0.373492	-0.388796	0.00370252
92	-0.38554	-0.388761	0.00366245
93	-0.406115	-0.388948	0.00362782
94	-0.425	-0.389331	0.00360944
95	-0.418835	-0.389642	0.00358478
96	-0.379431	-0.389535	0.00354902
97	-0.382309	-0.389461	0.00351321
98	-0.330153	-0.388856	0.0035291
99	-0.315781	-0.388117	0.00356981
100	-0.33538	-0.38759	0.00357286
