Block	Mean	Prog_mean	Error
1	1.42911	1.42911	0
2	1.42925	1.42918	4.98543e-05
3	1.42927	1.42921	4.11843e-05
4	1.42916	1.4292	3.3041e-05
5	1.42913	1.42918	2.88036e-05
6	1.42915	1.42918	2.44398e-05
7	1.42924	1.42919	2.25632e-05
8	1.42923	1.42919	2.02433e-05
9	1.42929	1.4292	2.05733e-05
10	1.4293	1.42921	2.0453e-05
11	1.42933	1.42922	2.11493e-05
12	1.42931	1.42923	2.04765e-05
13	1.42927	1.42923	1.90718e-05
14	1.42912	1.42923	1.92636e-05
15	1.42907	1.42922	2.06057e-05
16	1.42919	1.42921	1.94031e-05
17	1.42912	1.42921	1.90531e-05
18	1.42916	1.4292	1.8208e-05
19	1.42928	1.42921	1.76883e-05
20	1.42921	1.42921	1.68061e-05
21	1.42926	1.42921	1.61678e-05
22	1.42924	1.42921	1.54921e-05
23	1.42923	1.42921	1.48429e-05
24	1.4292	1.42921	1.42334e-05
25	1.42918	1.42921	1.37156e-05
26	1.42923	1.42921	1.32156e-05
27	1.42914	1.42921	1.30035e-05
28	1.42915	1.42921	1.27002e-05
29	1.42922	1.42921	1.22666e-05
30	1.42918	1.42921	1.18879e-05
31	1.42926	1.42921	1.16268e-05
32	1.42925	1.42921	1.13208e-05
33	1.42926	1.42921	1.1066e-05
34	1.42931	1.42921	1.11294e-05
35	1.4293	1.42922	1.10911e-05
36	1.42929	1.42922	1.09701e-05
37	1.42927	1.42922	1.07614e-05
38	1.4292	1.42922	1.04867e-05
39	1.42919	1.42922	1.02381e-05
40	1.42931	1.42922	1.02066e-05
41	1.42933	1.42922	1.03235e-05
42	1.42929	1.42923	1.01788e-05
43	1.42938	1.42923	1.05505e-05
44	1.42928	1.42923	1.03661e-05
45	1.42923	1.42923	1.0136e-05
46	1.42932	1.42923	1.01136e-05
47	1.42943	1.42924	1.07699e-05
48	1.42937	1.42924	1.09221e-05
49	1.42936	1.42924	1.09816e-05
50	1.42931	1.42924	1.08427e-05
51	1.42928	1.42924	1.06508e-05
52	1.42933	1.42925	1.05603e-05
53	1.42936	1.42925	1.05956e-05
54	1.42939	1.42925	1.07359e-05
55	1.4294	1.42925	1.08601e-05
56	1.42935	1.42926	1.08133e-05
57	1.42932	1.42926	1.06922e-05
58	1.4293	1.42926	1.05389e-05
59	1.42936	1.42926	1.05006e-05
60	1.42932	1.42926	1.03734e-05
61	1.42929	1.42926	1.02119e-05
62	1.42927	1.42926	1.00479e-05
63	1.42933	1.42926	9.94831e-06
64	1.42921	1.42926	9.82781e-06
65	1.42919	1.42926	9.73323e-06
66	1.42919	1.42926	9.64709e-06
67	1.4293	1.42926	9.5195e-06
68	1.42924	1.42926	9.38477e-06
69	1.42936	1.42926	9.36779e-06
70	1.42936	1.42926	9.34386e-06
71	1.42945	1.42926	9.58736e-06
72	1.42944	1.42927	9.7651e-06
73	1.42947	1.42927	1.00136e-05
74	1.42943	1.42927	1.01208e-05
75	1.42935	1.42927	1.00461e-05
76	1.42946	1.42928	1.02106e-05
77	1.4294	1.42928	1.0214e-05
78	1.42938	1.42928	1.01719e-05
79	1.42945	1.42928	1.02608e-05
80	1.42924	1.42928	1.01476e-05
81	1.42922	1.42928	1.00491e-05
82	1.42929	1.42928	9.92677e-06
83	1.42937	1.42928	9.8699e-06
84	1.42933	1.42928	9.77185e-06
85	1.42931	1.42928	9.66463e-06
86	1.42937	1.42928	9.61249e-06
87	1.42937	1.42928	9.56035e-06
88	1.42929	1.42928	9.45175e-06
89	1.42915	1.42928	9.46614e-06
90	1.42913	1.42928	9.50532e-06
91	1.42925	1.42928	9.40667e-06
92	1.4293	1.42928	9.30711e-06
93	1.42934	1.42928	9.22652e-06
94	1.42922	1.42928	9.1526e-06
95	1.42939	1.42928	9.12427e-06
96	1.42923	1.42928	9.04803e-06
97	1.42927	1.42928	8.95593e-06
98	1.42927	1.42928	8.86509e-06
99	1.42933	1.42928	8.79218e-06
100	1.42939	1.42928	8.7754e-06
