Block	Mean	Prog_mean	Error
1	0.0493596	0.0493596	0
2	0.052056	0.0507078	0.000953315
3	0.0495909	0.0503355	0.0007045
4	0.0483834	0.0498475	0.000676615
5	0.0520211	0.0502822	0.000666473
6	0.0536607	0.0508453	0.00075675
7	0.0491619	0.0506048	0.000685792
8	0.0564082	0.0513302	0.000905836
9	0.04982	0.0511624	0.000820582
10	0.051035	0.0511497	0.000738623
11	0.0501259	0.0510566	0.000677314
12	0.0492545	0.0509065	0.000637302
13	0.048249	0.050702	0.000620198
14	0.0496031	0.0506235	0.000580843
15	0.0522297	0.0507306	0.000551902
16	0.049147	0.0506316	0.000526208
17	0.055404	0.0509124	0.000565199
18	0.0540538	0.0510869	0.000560097
19	0.0509869	0.0510816	0.000530643
20	0.0506484	0.05106	0.000504553
21	0.0505347	0.051035	0.000481146
22	0.0530324	0.0511257	0.000467764
23	0.0508869	0.0511154	0.000447541
24	0.0457276	0.0508909	0.000481918
25	0.0509226	0.0508921	0.000462643
26	0.0508132	0.0508891	0.000444859
27	0.0511079	0.0508972	0.000428457
28	0.0518567	0.0509315	0.000414523
29	0.0529325	0.0510005	0.000405931
30	0.0501295	0.0509714	0.000393437
31	0.0495722	0.0509263	0.000383326
32	0.050901	0.0509255	0.000371348
33	0.0500908	0.0509002	0.000360956
34	0.0509024	0.0509003	0.000350339
35	0.0524828	0.0509455	0.000343235
36	0.052063	0.0509765	0.000335101
37	0.055054	0.0510867	0.000343688
38	0.0485843	0.0510209	0.000340894
39	0.0536281	0.0510877	0.000338645
40	0.0476521	0.0510018	0.000340897
41	0.0459348	0.0508783	0.000354277
42	0.0517287	0.0508985	0.00034642
43	0.0490524	0.0508556	0.000341014
44	0.049429	0.0508232	0.000334801
45	0.0480956	0.0507625	0.000332802
46	0.0494426	0.0507339	0.000326802
47	0.0517847	0.0507562	0.000320613
48	0.0484047	0.0507072	0.000317654
49	0.0516065	0.0507256	0.000311701
50	0.046405	0.0506392	0.000317219
51	0.0522285	0.0506703	0.000312526
52	0.050419	0.0506655	0.000306553
53	0.0485929	0.0506264	0.000303253
54	0.0466022	0.0505519	0.000306657
55	0.0513088	0.0505656	0.00030139
56	0.0508912	0.0505714	0.000296064
57	0.049756	0.0505571	0.000291215
58	0.0487065	0.0505252	0.000287937
59	0.0508204	0.0505302	0.0002831
60	0.0536901	0.0505829	0.000283238
61	0.0475627	0.0505334	0.000282889
62	0.0500058	0.0505249	0.000278455
63	0.0494158	0.0505073	0.000274591
64	0.0459061	0.0504354	0.000279553
65	0.0511888	0.050447	0.000275492
66	0.0494501	0.0504319	0.000271732
67	0.0482332	0.050399	0.000269651
68	0.0495352	0.0503863	0.000265984
69	0.0511627	0.0503976	0.000262367
70	0.0485118	0.0503707	0.000259999
71	0.0499396	0.0503646	0.000256407
72	0.0469784	0.0503176	0.000257123
73	0.0494498	0.0503057	0.000253876
74	0.0459503	0.0502468	0.000257177
75	0.0514195	0.0502624	0.000254222
76	0.0516901	0.0502812	0.00025157
77	0.0471721	0.0502409	0.000251523
78	0.0497009	0.0502339	0.000248393
79	0.0524111	0.0502615	0.000246773
80	0.0487909	0.0502431	0.000244372
81	0.0514531	0.050258	0.000241812
82	0.0472703	0.0502216	0.000241592
83	0.0477955	0.0501924	0.000240443
84	0.0535044	0.0502318	0.000240792
85	0.0507781	0.0502382	0.000238045
86	0.0498848	0.0502341	0.000235312
87	0.0507154	0.0502397	0.000232673
88	0.0502038	0.0502393	0.000230029
89	0.0518543	0.0502574	0.000228159
90	0.0519053	0.0502757	0.000226357
91	0.0469724	0.0502394	0.000226762
92	0.0481467	0.0502167	0.000225435
93	0.0502703	0.0502172	0.000223012
94	0.0495795	0.0502105	0.000220743
95	0.048491	0.0501924	0.00021916
96	0.0504983	0.0501955	0.0002169
97	0.0501152	0.0501947	0.000214666
98	0.0538503	0.050232	0.000215692
99	0.0518394	0.0502483	0.000214123
100	0.0502269	0.050248	0.000211982
