Block	Mean	Prog_mean	Error
1	1.21749	1.21749	0
2	1.23338	1.22544	0.00561954
3	1.2537	1.23486	0.00855601
4	1.22404	1.23215	0.00683084
5	1.24761	1.23524	0.00612408
6	1.24388	1.23668	0.00526978
7	1.23294	1.23615	0.00454395
8	1.2569	1.23874	0.00465759
9	1.21588	1.2362	0.00478275
10	1.21035	1.23362	0.00495436
11	1.20793	1.23128	0.00502412
12	1.20967	1.22948	0.00491775
13	1.22956	1.22949	0.00453947
14	1.2452	1.23061	0.00435172
15	1.27002	1.23324	0.00478949
16	1.19795	1.23103	0.00497192
17	1.24012	1.23157	0.00470809
18	1.24315	1.23221	0.00449031
19	1.24583	1.23293	0.00431082
20	1.21974	1.23227	0.00414539
21	1.23044	1.23218	0.0039489
22	1.24327	1.23268	0.00380145
23	1.22206	1.23222	0.00366411
24	1.19744	1.23077	0.00378717
25	1.21204	1.23002	0.00370909
26	1.20094	1.22891	0.00373127
27	1.2242	1.22873	0.00359714
28	1.22747	1.22869	0.00346895
29	1.20662	1.22793	0.00343174
30	1.19791	1.22692	0.00346016
31	1.21114	1.22642	0.0033858
32	1.22274	1.2263	0.00328195
33	1.18375	1.22501	0.00342646
34	1.21449	1.2247	0.00333963
35	1.19564	1.22387	0.00334581
36	1.22754	1.22397	0.00325442
37	1.23215	1.22419	0.00317396
38	1.21114	1.22385	0.00310897
39	1.23683	1.22418	0.003047
40	1.21487	1.22395	0.00297972
41	1.18673	1.22304	0.00304219
42	1.22068	1.22299	0.00297028
43	1.21325	1.22276	0.00290983
44	1.19714	1.22218	0.00290136
45	1.21435	1.222	0.0028421
46	1.23971	1.22239	0.00280626
47	1.20219	1.22196	0.00277925
48	1.22585	1.22204	0.00272254
49	1.20355	1.22166	0.00269299
50	1.19984	1.22123	0.00267426
51	1.219	1.22118	0.00262218
52	1.18966	1.22058	0.00264091
53	1.16837	1.21959	0.00276873
54	1.16745	1.21863	0.00288089
55	1.1787	1.2179	0.00291855
56	1.18184	1.21726	0.00293662
57	1.19133	1.2168	0.00292011
58	1.2109	1.2167	0.00287153
59	1.22615	1.21686	0.00282733
60	1.25541	1.2175	0.00285226
61	1.22668	1.21765	0.00280947
62	1.24213	1.21805	0.00279175
63	1.21317	1.21797	0.00274851
64	1.20269	1.21773	0.00271591
65	1.24455	1.21814	0.0027053
66	1.2076	1.21798	0.00266902
67	1.19823	1.21769	0.00264542
68	1.19246	1.21732	0.00263241
69	1.16862	1.21661	0.0026872
70	1.1534	1.21571	0.00279641
71	1.18545	1.21528	0.00278932
72	1.16643	1.2146	0.0028319
73	1.17665	1.21408	0.00284043
74	1.16826	1.21347	0.00286874
75	1.19937	1.21328	0.00283665
76	1.1828	1.21288	0.00282752
77	1.18956	1.21257	0.00280697
78	1.21383	1.21259	0.00277103
79	1.23035	1.21281	0.00274506
80	1.24037	1.21316	0.00273227
81	1.22439	1.2133	0.00270205
82	1.20679	1.21322	0.00267026
83	1.20204	1.21308	0.00264148
84	1.2216	1.21318	0.00261198
85	1.21284	1.21318	0.00258126
86	1.18518	1.21286	0.0025717
87	1.18786	1.21257	0.00255813
88	1.18937	1.2123	0.0025426
89	1.21169	1.2123	0.00251404
90	1.20035	1.21216	0.00248961
91	1.20183	1.21205	0.00246485
92	1.20989	1.21203	0.00243817
93	1.22363	1.21215	0.00241514
94	1.23615	1.21241	0.0024029
95	1.23215	1.21262	0.00238657
96	1.20577	1.21254	0.00236278
97	1.20772	1.21249	0.00233894
98	1.17295	1.21209	0.00234962
99	1.16341	1.2116	0.00237679
100	1.17652	1.21125	0.00237877
