Block	Mean	Prog_mean	Error
1	1.6851	1.6851	0
2	1.62988	1.65749	0.019524
3	1.66893	1.6613	0.0133834
4	1.66709	1.66275	0.0101154
5	1.65328	1.66086	0.00826769
6	1.66752	1.66197	0.00696392
7	1.62125	1.65615	0.00803961
8	1.65283	1.65573	0.00704536
9	1.68985	1.65952	0.00721082
10	1.66776	1.66035	0.00653658
11	1.68117	1.66224	0.00621043
12	1.65106	1.66131	0.00576238
13	1.61069	1.65742	0.00650311
14	1.64963	1.65686	0.00606236
15	1.60291	1.65326	0.00663997
16	1.62325	1.65139	0.00648454
17	1.63652	1.65051	0.00616181
18	1.66532	1.65133	0.00587415
19	1.67347	1.6525	0.00567929
20	1.63567	1.65166	0.00545729
21	1.65549	1.65184	0.00520047
22	1.63893	1.65125	0.00499707
23	1.65365	1.65136	0.00478089
24	1.62882	1.65042	0.00467298
25	1.61172	1.64887	0.00473553
26	1.6596	1.64928	0.00457132
27	1.61725	1.6481	0.00455338
28	1.64018	1.64781	0.00439953
29	1.65234	1.64797	0.00425059
30	1.6399	1.6477	0.0041174
31	1.67043	1.64843	0.00404935
32	1.68808	1.64967	0.00410798
33	1.66577	1.65016	0.00401234
34	1.66364	1.65056	0.00391387
35	1.63958	1.65024	0.00381459
36	1.66686	1.65071	0.00373646
37	1.63523	1.65029	0.00365882
38	1.65554	1.65043	0.00356515
39	1.63013	1.64991	0.0035115
40	1.62274	1.64923	0.00348879
41	1.63936	1.64899	0.00341198
42	1.6433	1.64885	0.00333343
43	1.63801	1.6486	0.00326543
44	1.64603	1.64854	0.00319173
45	1.66459	1.6489	0.00314068
46	1.64968	1.64891	0.00307245
47	1.66098	1.64917	0.00301779
48	1.6487	1.64916	0.00295493
49	1.6091	1.64834	0.00300562
50	1.66506	1.64868	0.00296403
51	1.62389	1.64819	0.0029455
52	1.62327	1.64771	0.00292757
53	1.6339	1.64745	0.00288391
54	1.62677	1.64707	0.00285581
55	1.64379	1.64701	0.00280451
56	1.65699	1.64719	0.00276008
57	1.61448	1.64661	0.00277066
58	1.63634	1.64644	0.00272854
59	1.65875	1.64664	0.00269027
60	1.63731	1.64649	0.00264993
61	1.65311	1.6466	0.00260871
62	1.63525	1.64641	0.00257305
63	1.67182	1.64682	0.0025636
64	1.63487	1.64663	0.00253034
65	1.63594	1.64647	0.00249675
66	1.64358	1.64642	0.00245931
67	1.68426	1.64699	0.00248659
68	1.63808	1.64686	0.00245347
69	1.65702	1.647	0.00242233
70	1.63241	1.6468	0.00239669
71	1.64317	1.64674	0.00236348
72	1.64771	1.64676	0.00233069
73	1.64664	1.64676	0.00229876
74	1.63032	1.64653	0.0022784
75	1.62821	1.64629	0.00226108
76	1.62498	1.64601	0.00224865
77	1.65498	1.64613	0.00222246
78	1.65917	1.64629	0.00220026
79	1.63295	1.64612	0.00217888
80	1.66766	1.64639	0.0021682
81	1.63181	1.64621	0.0021489
82	1.60533	1.64571	0.00217977
83	1.63073	1.64553	0.00216097
84	1.62024	1.64523	0.00215612
85	1.64345	1.64521	0.00213086
86	1.63328	1.64507	0.0021106
87	1.62022	1.64479	0.00210558
88	1.66564	1.64502	0.00209495
89	1.6207	1.64475	0.00208916
90	1.64098	1.64471	0.00206637
91	1.61836	1.64442	0.00206385
92	1.65671	1.64455	0.00204573
93	1.64017	1.64451	0.00202428
94	1.68304	1.64492	0.00204383
95	1.61595	1.64461	0.00204493
96	1.63305	1.64449	0.00202717
97	1.66078	1.64466	0.00201322
98	1.6548	1.64476	0.00199533
99	1.66142	1.64493	0.00198226
100	1.64823	1.64496	0.00196271
