Block	Mean	Prog_mean	Error
1	-5.06466	-5.06466	0
2	-5.00815	-5.0364	0.0199797
3	-5.04902	-5.04061	0.013755
4	-5.04447	-5.04157	0.0103502
5	-5.03098	-5.03946	0.00849414
6	-5.04562	-5.04048	0.00714039
7	-4.99832	-5.03446	0.00828
8	-5.03258	-5.03422	0.00724835
9	-5.06773	-5.03795	0.00733717
10	-5.04701	-5.03885	0.00665916
11	-5.0607	-5.04084	0.00634294
12	-5.03124	-5.04004	0.00586459
13	-4.98951	-5.03615	0.00657674
14	-5.0305	-5.03575	0.00611937
15	-4.9822	-5.03218	0.00667184
16	-5.00142	-5.03026	0.00652591
17	-5.01528	-5.02938	0.00620122
18	-5.04327	-5.03015	0.00590455
19	-5.05392	-5.0314	0.00572477
20	-5.01238	-5.03045	0.00551695
21	-5.03398	-5.03062	0.00525679
22	-5.01843	-5.03006	0.00504693
23	-5.03363	-5.03022	0.00482988
24	-5.0085	-5.02931	0.00471264
25	-4.98805	-5.02766	0.00480446
26	-5.03958	-5.02812	0.0046415
27	-4.9976	-5.02699	0.00460518
28	-5.01698	-5.02663	0.00445455
29	-5.03194	-5.02682	0.0043047
30	-5.01977	-5.02658	0.00416762
31	-5.05086	-5.02736	0.00410612
32	-5.0677	-5.02862	0.00416684
33	-5.0448	-5.02911	0.00406931
34	-5.04112	-5.02947	0.00396491
35	-5.01831	-5.02915	0.00386441
36	-5.04412	-5.02956	0.00377937
37	-5.01251	-5.0291	0.00370522
38	-5.03609	-5.02929	0.00361228
39	-5.00925	-5.02877	0.00355602
40	-5.00183	-5.0281	0.00353034
41	-5.01828	-5.02786	0.00345234
42	-5.02219	-5.02773	0.00337278
43	-5.01582	-5.02745	0.0033057
44	-5.0241	-5.02737	0.00323145
45	-5.04465	-5.02776	0.00318237
46	-5.02721	-5.02774	0.00311321
47	-5.03877	-5.02798	0.0030558
48	-5.02688	-5.02796	0.00299222
49	-4.98686	-5.02712	0.00304644
50	-5.04586	-5.02749	0.00300849
51	-5.00377	-5.02703	0.00298524
52	-5.00148	-5.02654	0.00296797
53	-5.01348	-5.02629	0.00292217
54	-5.00365	-5.02587	0.00289799
55	-5.02367	-5.02583	0.00284557
56	-5.03703	-5.02603	0.00280178
57	-4.99478	-5.02548	0.00280574
58	-5.01447	-5.02529	0.00276379
59	-5.03997	-5.02554	0.00272811
60	-5.01455	-5.02536	0.00268879
61	-5.03118	-5.02545	0.0026464
62	-5.01356	-5.02526	0.00261066
63	-5.05099	-5.02567	0.00260097
64	-5.01394	-5.02549	0.00256678
65	-5.01653	-5.02535	0.00253099
66	-5.02219	-5.0253	0.0024931
67	-5.06596	-5.02591	0.00252865
68	-5.01678	-5.02577	0.00249503
69	-5.03709	-5.02594	0.00246425
70	-5.01179	-5.02574	0.00243733
71	-5.02135	-5.02567	0.00240378
72	-5.02748	-5.0257	0.00237052
73	-5.02531	-5.02569	0.00233806
74	-5.00671	-5.02544	0.00232049
75	-5.00646	-5.02518	0.00230331
76	-5.00298	-5.02489	0.00229145
77	-5.03438	-5.02501	0.002265
78	-5.03879	-5.02519	0.00224284
79	-5.01187	-5.02502	0.00222077
80	-5.04825	-5.02531	0.00221191
81	-5.01046	-5.02513	0.00219219
82	-4.98501	-5.02464	0.00221938
83	-5.00798	-5.02444	0.0022017
84	-4.99803	-5.02413	0.00219783
85	-5.02332	-5.02412	0.00217199
86	-5.01288	-5.02399	0.00215066
87	-5.00047	-5.02372	0.00214285
88	-5.04611	-5.02397	0.00213356
89	-5.00056	-5.02371	0.00212575
90	-5.02129	-5.02368	0.0021023
91	-4.99889	-5.02341	0.00209677
92	-5.03749	-5.02356	0.00207955
93	-5.02072	-5.02353	0.00205742
94	-5.06072	-5.02393	0.00207322
95	-4.99352	-5.02361	0.00207595
96	-5.01462	-5.02351	0.00205643
97	-5.04125	-5.02369	0.00204335
98	-5.03457	-5.02381	0.00202551
99	-5.04056	-5.02397	0.00201211
100	-5.0266	-5.024	0.00199216
