Block	Mean	Prog_mean	Error
1	-3.37956	-3.37956	0
2	-3.37827	-3.37892	0.000455671
3	-3.38009	-3.37931	0.000440227
4	-3.37738	-3.37883	0.000530979
5	-3.3777	-3.3786	0.000469902
6	-3.37811	-3.37852	0.000398751
7	-3.37707	-3.37831	0.000391558
8	-3.37975	-3.37849	0.000381503
9	-3.37788	-3.37842	0.000345124
10	-3.37925	-3.37851	0.000320351
11	-3.37952	-3.3786	0.000304318
12	-3.38018	-3.37873	0.000306183
13	-3.37882	-3.37874	0.000282708
14	-3.38087	-3.37889	0.000300782
15	-3.3793	-3.37892	0.000281941
16	-3.37817	-3.37887	0.000268116
17	-3.37876	-3.37886	0.00025242
18	-3.37795	-3.37881	0.000243449
19	-3.38045	-3.3789	0.000245414
20	-3.37671	-3.37879	0.000256449
21	-3.37848	-3.37878	0.00024465
22	-3.3795	-3.37881	0.00023573
23	-3.37998	-3.37886	0.000230894
24	-3.37968	-3.37889	0.000223775
25	-3.37633	-3.37879	0.000237121
26	-3.37999	-3.37884	0.000232427
27	-3.38035	-3.37889	0.000230487
28	-3.37681	-3.37882	0.000233989
29	-3.3796	-3.37885	0.000227454
30	-3.37986	-3.37888	0.000222382
31	-3.38043	-3.37893	0.00022075
32	-3.37962	-3.37895	0.000214914
33	-3.37904	-3.37895	0.000208418
34	-3.37747	-3.37891	0.00020678
35	-3.37873	-3.3789	0.000200935
36	-3.37725	-3.37886	0.000200521
37	-3.37729	-3.37882	0.000199554
38	-3.38055	-3.37886	0.000199466
39	-3.37911	-3.37887	0.000194456
40	-3.37909	-3.37887	0.000189677
41	-3.37892	-3.37888	0.000185054
42	-3.3789	-3.37888	0.000180648
43	-3.37781	-3.37885	0.000178151
44	-3.37806	-3.37883	0.000174998
45	-3.38006	-3.37886	0.00017322
46	-3.37753	-3.37883	0.000171847
47	-3.37779	-3.37881	0.000169616
48	-3.37818	-3.3788	0.000166586
49	-3.37776	-3.37877	0.000164516
50	-3.38081	-3.37882	0.000166171
51	-3.37988	-3.37884	0.000164223
52	-3.37821	-3.37882	0.000161508
53	-3.37958	-3.37884	0.000159091
54	-3.37687	-3.3788	0.000160254
55	-3.37988	-3.37882	0.000158528
56	-3.38004	-3.37884	0.000157187
57	-3.3803	-3.37887	0.000156497
58	-3.37813	-3.37886	0.000154323
59	-3.38122	-3.3789	0.00015681
60	-3.37724	-3.37887	0.000156597
61	-3.37807	-3.37886	0.000154574
62	-3.37831	-3.37885	0.00015233
63	-3.37917	-3.37885	0.00015
64	-3.37907	-3.37886	0.000147694
65	-3.38059	-3.37888	0.000147813
66	-3.37861	-3.37888	0.000145633
67	-3.3817	-3.37892	0.000149406
68	-3.37869	-3.37892	0.000147247
69	-3.38007	-3.37893	0.000146054
70	-3.37938	-3.37894	0.000144106
71	-3.37818	-3.37893	0.000142472
72	-3.37977	-3.37894	0.000140972
73	-3.37867	-3.37894	0.000139088
74	-3.37639	-3.3789	0.00014141
75	-3.37825	-3.37889	0.000139794
76	-3.378	-3.37888	0.000138443
77	-3.3794	-3.37889	0.00013681
78	-3.37961	-3.3789	0.000135372
79	-3.37892	-3.3789	0.000133659
80	-3.38059	-3.37892	0.00013365
81	-3.37865	-3.37892	0.000132043
82	-3.37969	-3.37893	0.000130765
83	-3.37724	-3.37891	0.000130751
84	-3.37779	-3.37889	0.000129866
85	-3.37987	-3.3789	0.000128847
86	-3.37961	-3.37891	0.000127609
87	-3.38025	-3.37893	0.000127068
88	-3.38047	-3.37894	0.000126829
89	-3.37985	-3.37896	0.000125813
90	-3.38031	-3.37897	0.000125312
91	-3.38054	-3.37899	0.000125109
92	-3.38078	-3.37901	0.000125254
93	-3.38055	-3.37902	0.000124997
94	-3.37768	-3.37901	0.000124484
95	-3.37757	-3.37899	0.000124092
96	-3.38157	-3.37902	0.000125676
97	-3.38048	-3.37904	0.000125273
98	-3.37977	-3.37904	0.000124219
99	-3.37914	-3.37904	0.000122968
100	-3.37838	-3.37904	0.00012192
