Block	Mean	Prog_mean	Error
1	2.00349	2.00349	0
2	2.25952	2.1315	0.0905207
3	2.07538	2.1128	0.0622498
4	2.22022	2.13965	0.0521594
5	2.15932	2.14359	0.0418757
6	2.05003	2.12799	0.0376874
7	2.2965	2.15207	0.0392457
8	1.99363	2.13226	0.0390184
9	2.05709	2.12391	0.0355657
10	2.18891	2.13041	0.0325977
11	2.00772	2.11926	0.0314846
12	2.09474	2.11721	0.0289271
13	2.30291	2.1315	0.0300223
14	2.06114	2.12647	0.0282953
15	2.29652	2.13781	0.0285899
16	2.1816	2.14055	0.0269337
17	2.15567	2.14144	0.0253641
18	2.04465	2.13606	0.0245182
19	1.94391	2.12595	0.0252275
20	2.19384	2.12934	0.0241934
21	2.12028	2.12891	0.0230452
22	2.11747	2.12839	0.0220036
23	2.07676	2.12614	0.0211611
24	2.22162	2.13012	0.02065
25	2.40915	2.14128	0.0226402
26	2.07194	2.13862	0.021926
27	2.22932	2.14198	0.0213697
28	2.13952	2.14189	0.0206067
29	2.07843	2.1397	0.020012
30	2.12618	2.13925	0.01935
31	1.98176	2.13417	0.0193812
32	1.99314	2.12976	0.0192701
33	2.03382	2.12685	0.0189042
34	2.09898	2.12603	0.018366
35	2.11552	2.12573	0.0178437
36	2.15173	2.12646	0.0173627
37	2.26378	2.13017	0.0172855
38	2.09019	2.12912	0.0168626
39	2.19414	2.13078	0.0165125
40	2.16304	2.13159	0.0161193
41	2.13954	2.13178	0.0157274
42	2.21323	2.13372	0.015472
43	2.27833	2.13708	0.0154734
44	2.17988	2.13806	0.0151522
45	1.99725	2.13493	0.0151352
46	2.16379	2.13556	0.0148191
47	2.22557	2.13747	0.0146271
48	2.12687	2.13725	0.014324
49	2.34156	2.14142	0.0146259
50	2.01511	2.13889	0.0145499
51	2.03822	2.13692	0.0143979
52	2.19625	2.13806	0.0141662
53	2.1468	2.13823	0.0138999
54	2.11799	2.13785	0.0136475
55	2.11292	2.1374	0.0134069
56	2.03754	2.13561	0.0132856
57	2.36185	2.13958	0.0136325
58	2.24187	2.14135	0.013511
59	1.91242	2.13747	0.0138279
60	2.20301	2.13856	0.0136406
61	2.14147	2.13861	0.013417
62	2.20891	2.13974	0.0132485
63	2.04616	2.13826	0.0131212
64	2.1943	2.13913	0.0129453
65	2.18781	2.13988	0.0127678
66	2.16083	2.1402	0.0125783
67	1.90395	2.13667	0.0128753
68	2.29011	2.13893	0.0128822
69	2.02525	2.13728	0.0128004
70	2.20937	2.13831	0.0126589
71	2.18123	2.13891	0.012495
72	2.11271	2.13855	0.0123268
73	2.15258	2.13874	0.0121594
74	2.22795	2.13995	0.0120547
75	2.25203	2.14144	0.0119863
76	2.24799	2.14284	0.0119103
77	2.14069	2.14282	0.0117556
78	2.12954	2.14265	0.0116061
79	2.19752	2.14334	0.01148
80	1.99821	2.14153	0.0114789
81	2.1762	2.14195	0.0113452
82	2.31774	2.1441	0.0114076
83	2.3775	2.14691	0.0116116
84	2.25529	2.1482	0.0115448
85	2.1357	2.14805	0.0114099
86	2.15417	2.14813	0.0112775
87	2.17506	2.14843	0.0111521
88	2.12367	2.14815	0.0110289
89	2.29328	2.14978	0.0110249
90	2.15019	2.14979	0.0109024
91	2.3127	2.15158	0.0109286
92	1.98464	2.14976	0.0109594
93	2.05404	2.14873	0.0108898
94	1.98067	2.14695	0.0109197
95	2.34337	2.14901	0.0109988
96	2.08131	2.14831	0.0109068
97	1.99312	2.14671	0.0109111
98	2.08331	2.14606	0.0108189
99	2.0458	2.14505	0.0107569
100	2.07016	2.1443	0.0106754
