Block	Mean	Prog_mean	Error
1	1.1234	1.1234	0
2	1.08658	1.10499	0.013016
3	1.11262	1.10753	0.00892225
4	1.11139	1.1085	0.00674362
5	1.10219	1.10724	0.00551179
6	1.11168	1.10798	0.00464261
7	1.08083	1.1041	0.00535974
8	1.10189	1.10382	0.00469691
9	1.12657	1.10635	0.00480721
10	1.11184	1.1069	0.00435772
11	1.12078	1.10816	0.00414029
12	1.10071	1.10754	0.00384159
13	1.07379	1.10494	0.00433541
14	1.09975	1.10457	0.00404157
15	1.06861	1.10217	0.00442665
16	1.08217	1.10092	0.00432303
17	1.09101	1.10034	0.00410788
18	1.11021	1.10089	0.0039161
19	1.11564	1.10167	0.00378619
20	1.09045	1.10111	0.00363819
21	1.10366	1.10123	0.00346698
22	1.09262	1.10084	0.00333138
23	1.10244	1.10091	0.00318726
24	1.08588	1.10028	0.00311532
25	1.07448	1.09925	0.00315702
26	1.1064	1.09952	0.00304755
27	1.07817	1.09873	0.00303559
28	1.09345	1.09854	0.00293302
29	1.10156	1.09865	0.00283373
30	1.09327	1.09847	0.00274493
31	1.11362	1.09896	0.00269957
32	1.12539	1.09978	0.00273866
33	1.11051	1.10011	0.00267489
34	1.10909	1.10037	0.00260924
35	1.09305	1.10016	0.00254306
36	1.11124	1.10047	0.00249097
37	1.09015	1.10019	0.00243921
38	1.10369	1.10028	0.00237676
39	1.08675	1.09994	0.002341
40	1.08182	1.09948	0.00232586
41	1.09291	1.09932	0.00227465
42	1.09553	1.09923	0.00222229
43	1.09201	1.09907	0.00217695
44	1.09736	1.09903	0.00212782
45	1.10973	1.09926	0.00209379
46	1.09979	1.09928	0.0020483
47	1.10732	1.09945	0.00201186
48	1.09913	1.09944	0.00196995
49	1.07273	1.0989	0.00200375
50	1.11004	1.09912	0.00197602
51	1.08259	1.09879	0.00196367
52	1.08218	1.09847	0.00195171
53	1.08927	1.0983	0.0019226
54	1.08452	1.09805	0.00190387
55	1.09586	1.09801	0.00186967
56	1.10466	1.09812	0.00184006
57	1.07632	1.09774	0.00184711
58	1.0909	1.09762	0.00181903
59	1.10583	1.09776	0.00179351
60	1.09154	1.09766	0.00176662
61	1.10207	1.09773	0.00173914
62	1.09017	1.09761	0.00171536
63	1.11454	1.09788	0.00170907
64	1.08991	1.09775	0.00168689
65	1.09062	1.09764	0.0016645
66	1.09572	1.09762	0.00163954
67	1.12284	1.09799	0.00165773
68	1.09206	1.0979	0.00163565
69	1.10468	1.098	0.00161489
70	1.08827	1.09786	0.00159779
71	1.09545	1.09783	0.00157565
72	1.09848	1.09784	0.00155379
73	1.09776	1.09784	0.00153251
74	1.08688	1.09769	0.00151893
75	1.08547	1.09753	0.00150739
76	1.08332	1.09734	0.0014991
77	1.10332	1.09742	0.00148164
78	1.10612	1.09753	0.00146684
79	1.08863	1.09742	0.00145258
80	1.11177	1.0976	0.00144547
81	1.08787	1.09748	0.0014326
82	1.07022	1.09714	0.00145318
83	1.08716	1.09702	0.00144065
84	1.08016	1.09682	0.00143742
85	1.09563	1.09681	0.00142057
86	1.08885	1.09672	0.00140707
87	1.08015	1.09653	0.00140372
88	1.11043	1.09668	0.00139663
89	1.08047	1.0965	0.00139277
90	1.09399	1.09647	0.00137758
91	1.07891	1.09628	0.0013759
92	1.10447	1.09637	0.00136382
93	1.09345	1.09634	0.00134952
94	1.12203	1.09661	0.00136255
95	1.0773	1.09641	0.00136329
96	1.0887	1.09633	0.00135145
97	1.10719	1.09644	0.00134214
98	1.1032	1.09651	0.00133022
99	1.10761	1.09662	0.00132151
100	1.09882	1.09664	0.00130847
