Block	Mean	Prog_mean	Error
1	1.20591	1.20591	0
2	1.20087	1.20339	0.00178253
3	1.19605	1.20094	0.00232476
4	1.20807	1.20272	0.00232834
5	1.20578	1.20333	0.00194158
6	1.2079	1.20409	0.00176069
7	1.20634	1.20442	0.00153818
8	1.19921	1.20376	0.00147734
9	1.21315	1.20481	0.00164042
10	1.20052	1.20438	0.00153147
11	1.20077	1.20405	0.00142685
12	1.19961	1.20368	0.00135499
13	1.20924	1.20411	0.00131658
14	1.20005	1.20382	0.00125401
15	1.20608	1.20397	0.00117942
16	1.19949	1.20369	0.0011384
17	1.20268	1.20363	0.00107299
18	1.20209	1.20355	0.00101678
19	1.2107	1.20392	0.00103063
20	1.19635	1.20354	0.00104636
21	1.19435	1.20311	0.00108417
22	1.19904	1.20292	0.00105049
23	1.20107	1.20284	0.00100791
24	1.20185	1.2028	0.000966758
25	1.20476	1.20288	0.000931276
26	1.20173	1.20283	0.000896494
27	1.19821	1.20266	0.000879502
28	1.21025	1.20293	0.000888914
29	1.19214	1.20256	0.000932945
30	1.20642	1.20269	0.000910657
31	1.201	1.20263	0.000882918
32	1.20206	1.20262	0.000855511
33	1.20295	1.20263	0.000829644
34	1.20235	1.20262	0.000805282
35	1.2016	1.20259	0.000782801
36	1.20686	1.20271	0.000769993
37	1.20296	1.20272	0.000749212
38	1.21184	1.20296	0.000767018
39	1.19729	1.20281	0.000760995
40	1.21137	1.20302	0.000771497
41	1.20587	1.20309	0.000755802
42	1.19737	1.20296	0.000749985
43	1.20408	1.20298	0.000733001
44	1.20288	1.20298	0.000716345
45	1.20318	1.20299	0.00070044
46	1.20308	1.20299	0.000685216
47	1.20718	1.20308	0.000676428
48	1.20471	1.20311	0.000663195
49	1.19567	1.20296	0.000666802
50	1.20294	1.20296	0.000653466
51	1.19671	1.20284	0.000652037
52	1.20473	1.20287	0.000640509
53	1.20653	1.20294	0.000632133
54	1.19763	1.20284	0.000628043
55	1.20052	1.2028	0.000618047
56	1.20163	1.20278	0.000607364
57	1.2011	1.20275	0.000597427
58	1.20881	1.20285	0.00059618
59	1.20171	1.20284	0.000586389
60	1.20793	1.20292	0.000582733
61	1.19514	1.20279	0.000586977
62	1.20815	1.20288	0.000583829
63	1.19841	1.20281	0.000578857
64	1.20166	1.20279	0.00057009
65	1.20494	1.20282	0.00056228
66	1.20191	1.20281	0.000553932
67	1.20222	1.2028	0.000545735
68	1.2036	1.20281	0.000537835
69	1.20147	1.20279	0.000530391
70	1.20287	1.20279	0.000522815
71	1.20501	1.20283	0.000516386
72	1.20513	1.20286	0.000510205
73	1.20352	1.20287	0.000503296
74	1.19851	1.20281	0.000499919
75	1.20776	1.20287	0.0004976
76	1.1964	1.20279	0.000498296
77	1.20014	1.20275	0.000493014
78	1.19821	1.2027	0.000490125
79	1.20417	1.20271	0.000484276
80	1.20025	1.20268	0.000479204
81	1.20842	1.20275	0.000478483
82	1.19785	1.20269	0.000476377
83	1.20265	1.20269	0.000470638
84	1.20114	1.20268	0.000465399
85	1.20558	1.20271	0.000461178
86	1.20612	1.20275	0.000457513
87	1.20278	1.20275	0.000452254
88	1.21018	1.20283	0.00045492
89	1.20743	1.20289	0.000452735
90	1.20242	1.20288	0.000447734
91	1.20452	1.2029	0.000443176
92	1.20642	1.20294	0.000440005
93	1.20268	1.20293	0.000435282
94	1.20184	1.20292	0.000430807
95	1.20376	1.20293	0.000426362
96	1.20411	1.20294	0.000422097
97	1.20712	1.20299	0.000419933
98	1.20065	1.20296	0.000416322
99	1.20399	1.20297	0.000412245
100	1.20898	1.20303	0.00041248
