Block	Mean	Prog_mean	Error
1	-6.66128	-6.66128	0
2	-6.65601	-6.65865	0.00186203
3	-6.65098	-6.65609	0.00242813
4	-6.6636	-6.65797	0.00244111
5	-6.66207	-6.65879	0.00208615
6	-6.66441	-6.65972	0.00193787
7	-6.66157	-6.65999	0.00167881
8	-6.65511	-6.65938	0.00157583
9	-6.66873	-6.66042	0.00170918
10	-6.65552	-6.65993	0.00160694
11	-6.6558	-6.65955	0.00150399
12	-6.65582	-6.65924	0.0014105
13	-6.66513	-6.65969	0.00137277
14	-6.65579	-6.65941	0.00130267
15	-6.66191	-6.65958	0.00122636
16	-6.65575	-6.65934	0.00117287
17	-6.6581	-6.65927	0.00110614
18	-6.65723	-6.65916	0.00105047
19	-6.66636	-6.65953	0.00106144
20	-6.65088	-6.6591	0.00109311
21	-6.64946	-6.65864	0.00113338
22	-6.65429	-6.65844	0.00109897
23	-6.65649	-6.65836	0.00105449
24	-6.65625	-6.65827	0.00101422
25	-6.65922	-6.65831	0.000974355
26	-6.65624	-6.65823	0.000940116
27	-6.65395	-6.65807	0.00091855
28	-6.66589	-6.65835	0.000927242
29	-6.64743	-6.65797	0.000968698
30	-6.66252	-6.65813	0.00094819
31	-6.65715	-6.65809	0.000918121
32	-6.65716	-6.65807	0.000889896
33	-6.65786	-6.65806	0.000862951
34	-6.65754	-6.65804	0.000837704
35	-6.65717	-6.65802	0.000814141
36	-6.66301	-6.65816	0.000803251
37	-6.65898	-6.65818	0.00078185
38	-6.66722	-6.65842	0.000796611
39	-6.65395	-6.6583	0.000784375
40	-6.66723	-6.65853	0.000795866
41	-6.66165	-6.6586	0.000780086
42	-6.65281	-6.65846	0.000773607
43	-6.65919	-6.65848	0.000755802
44	-6.65864	-6.65848	0.000738633
45	-6.65853	-6.65849	0.00072222
46	-6.6596	-6.65851	0.000706922
47	-6.66351	-6.65862	0.000699835
48	-6.66061	-6.65866	0.000686485
49	-6.65164	-6.65851	0.00068727
50	-6.65835	-6.65851	0.000673533
51	-6.6518	-6.65838	0.00067305
52	-6.66108	-6.65843	0.000662103
53	-6.66247	-6.65851	0.000653983
54	-6.65309	-6.65841	0.000649511
55	-6.65605	-6.65836	0.000639121
56	-6.65796	-6.65836	0.000627748
57	-6.65708	-6.65834	0.000617135
58	-6.6647	-6.65844	0.000616184
59	-6.65805	-6.65844	0.000605777
60	-6.6639	-6.65853	0.000602469
61	-6.64989	-6.65839	0.000609011
62	-6.66455	-6.65849	0.000607251
63	-6.65479	-6.65843	0.000600443
64	-6.65785	-6.65842	0.000591129
65	-6.66195	-6.65847	0.000584519
66	-6.6582	-6.65847	0.000575677
67	-6.65781	-6.65846	0.00056717
68	-6.65823	-6.65846	0.000558839
69	-6.65673	-6.65843	0.000551298
70	-6.65852	-6.65843	0.000543424
71	-6.66109	-6.65847	0.000537059
72	-6.662	-6.65852	0.000531834
73	-6.65973	-6.65854	0.000524806
74	-6.65419	-6.65848	0.00052099
75	-6.66431	-6.65855	0.000519813
76	-6.65198	-6.65847	0.000520126
77	-6.65562	-6.65843	0.000514681
78	-6.65394	-6.65837	0.000511291
79	-6.66044	-6.6584	0.000505489
80	-6.65653	-6.65838	0.00049971
81	-6.66456	-6.65845	0.00049933
82	-6.65326	-6.65839	0.000497236
83	-6.65772	-6.65838	0.000491311
84	-6.65676	-6.65836	0.000485841
85	-6.66188	-6.6584	0.000481887
86	-6.66274	-6.65845	0.000478914
87	-6.65796	-6.65845	0.000473443
88	-6.66617	-6.65854	0.000476123
89	-6.66309	-6.65859	0.000473515
90	-6.65742	-6.65857	0.000468431
91	-6.66044	-6.65859	0.00046373
92	-6.6623	-6.65863	0.000460435
93	-6.65808	-6.65863	0.000455522
94	-6.65679	-6.65861	0.000451098
95	-6.6597	-6.65862	0.000446496
96	-6.66031	-6.65864	0.000442193
97	-6.6634	-6.65869	0.000440349
98	-6.65555	-6.65866	0.000437019
99	-6.66	-6.65867	0.000432816
100	-6.66438	-6.65873	0.000432234
