Block	Mean	Prog_mean	Error
1	-5.45537	-5.45537	0
2	-5.45515	-5.45526	7.94946e-05
3	-5.45493	-5.45515	0.000103369
4	-5.45553	-5.45524	0.000113229
5	-5.45628	-5.45545	0.000206664
6	-5.45652	-5.45563	0.000236321
7	-5.45522	-5.45557	0.000209546
8	-5.4559	-5.45561	0.000187397
9	-5.45558	-5.45561	0.000166616
10	-5.455	-5.45555	0.000160666
11	-5.45503	-5.4555	0.000152923
12	-5.4562	-5.45556	0.000150933
13	-5.45588	-5.45558	0.000141379
14	-5.45574	-5.4556	0.00013172
15	-5.45583	-5.45561	0.000123839
16	-5.45626	-5.45565	0.000122469
17	-5.45542	-5.45564	0.000115997
18	-5.45514	-5.45561	0.000112827
19	-5.45566	-5.45561	0.000106921
20	-5.45453	-5.45556	0.000114523
21	-5.45511	-5.45554	0.000111078
22	-5.45525	-5.45552	0.000106801
23	-5.45542	-5.45552	0.000102253
24	-5.4544	-5.45547	0.000108131
25	-5.45445	-5.45543	0.000111231
26	-5.45451	-5.4554	0.000112481
27	-5.45574	-5.45541	0.000109047
28	-5.45564	-5.45542	0.000105457
29	-5.45529	-5.45541	0.000101907
30	-5.4561	-5.45544	0.000101079
31	-5.45616	-5.45546	0.000100468
32	-5.4551	-5.45545	9.79541e-05
33	-5.45491	-5.45543	9.63105e-05
34	-5.45519	-5.45542	9.37425e-05
35	-5.45557	-5.45543	9.11561e-05
36	-5.45615	-5.45545	9.08025e-05
37	-5.45602	-5.45546	8.96647e-05
38	-5.45537	-5.45546	8.73364e-05
39	-5.45666	-5.45549	9.03652e-05
40	-5.45585	-5.4555	8.85555e-05
41	-5.45577	-5.45551	8.66448e-05
42	-5.45544	-5.45551	8.45979e-05
43	-5.45511	-5.4555	8.31313e-05
44	-5.45576	-5.4555	8.14512e-05
45	-5.45535	-5.4555	7.97105e-05
46	-5.45652	-5.45552	8.09736e-05
47	-5.45632	-5.45554	8.10297e-05
48	-5.4559	-5.45555	7.96804e-05
49	-5.45596	-5.45556	7.85035e-05
50	-5.4554	-5.45555	7.69923e-05
51	-5.45509	-5.45554	7.60108e-05
52	-5.45635	-5.45556	7.61231e-05
53	-5.45594	-5.45557	7.50243e-05
54	-5.45547	-5.45556	7.36573e-05
55	-5.45553	-5.45556	7.2321e-05
56	-5.45633	-5.45558	7.23198e-05
57	-5.45598	-5.45558	7.14006e-05
58	-5.4559	-5.45559	7.03718e-05
59	-5.45633	-5.4556	7.0295e-05
60	-5.45596	-5.45561	6.93808e-05
61	-5.45475	-5.45559	6.96522e-05
62	-5.4564	-5.45561	6.97441e-05
63	-5.45638	-5.45562	6.97048e-05
64	-5.45619	-5.45563	6.91811e-05
65	-5.457	-5.45565	7.12741e-05
66	-5.4563	-5.45566	7.08637e-05
67	-5.45559	-5.45566	6.98142e-05
68	-5.45463	-5.45564	7.03942e-05
69	-5.45526	-5.45564	6.95953e-05
70	-5.45566	-5.45564	6.86016e-05
71	-5.45608	-5.45564	6.79129e-05
72	-5.45687	-5.45566	6.90705e-05
73	-5.45621	-5.45567	6.85326e-05
74	-5.45567	-5.45567	6.76066e-05
75	-5.45654	-5.45568	6.77059e-05
76	-5.45558	-5.45568	6.68279e-05
77	-5.45549	-5.45568	6.60066e-05
78	-5.45573	-5.45568	6.51642e-05
79	-5.45627	-5.45569	6.47696e-05
80	-5.45628	-5.45569	6.43901e-05
81	-5.45614	-5.4557	6.38322e-05
82	-5.45542	-5.45569	6.31467e-05
83	-5.45506	-5.45569	6.28445e-05
84	-5.45562	-5.45569	6.21008e-05
85	-5.4563	-5.45569	6.17906e-05
86	-5.45662	-5.4557	6.20099e-05
87	-5.45518	-5.4557	6.15929e-05
88	-5.45599	-5.4557	6.0984e-05
89	-5.45565	-5.4557	6.03011e-05
90	-5.45499	-5.45569	6.01394e-05
91	-5.45592	-5.4557	5.95285e-05
92	-5.45588	-5.4557	5.89162e-05
93	-5.4554	-5.45569	5.8367e-05
94	-5.45494	-5.45569	5.82896e-05
95	-5.45594	-5.45569	5.7738e-05
96	-5.45621	-5.45569	5.73875e-05
97	-5.45628	-5.4557	5.71126e-05
98	-5.45489	-5.45569	5.71207e-05
99	-5.45601	-5.4557	5.66353e-05
100	-5.45539	-5.45569	5.61501e-05
