Block	Mean	Prog_mean	Error
1	9.61804	9.61804	0
2	9.63979	9.62892	0.00769305
3	9.67075	9.64286	0.0124883
4	9.61179	9.63509	0.0115318
5	9.61428	9.63093	0.00994838
6	9.59886	9.62559	0.00961933
7	9.61729	9.6244	0.00831787
8	9.65547	9.62828	0.00813448
9	9.59155	9.6242	0.00819067
10	9.65608	9.62739	0.0079679
11	9.62033	9.62675	0.00726932
12	9.64386	9.62818	0.00680202
13	9.60837	9.62665	0.00644712
14	9.64009	9.62761	0.00605767
15	9.6016	9.62588	0.0058968
16	9.63693	9.62657	0.00556856
17	9.62429	9.62643	0.00524261
18	9.61901	9.62602	0.00496756
19	9.56627	9.62288	0.00561405
20	9.64856	9.62416	0.00547821
21	9.65904	9.62582	0.00546338
22	9.63764	9.62636	0.00524141
23	9.64061	9.62698	0.00505002
24	9.62509	9.6269	0.00484021
25	9.62037	9.62664	0.00465365
26	9.629	9.62673	0.00447555
27	9.63002	9.62685	0.00431144
28	9.60183	9.62596	0.00424907
29	9.68889	9.62813	0.00462364
30	9.60767	9.62745	0.00451955
31	9.62875	9.62749	0.00437395
32	9.648	9.62813	0.00428398
33	9.61771	9.62781	0.00416578
34	9.6356	9.62804	0.00404954
35	9.64132	9.62842	0.00395157
36	9.60397	9.62774	0.00389973
37	9.63053	9.62782	0.00379506
38	9.58154	9.6266	0.00388569
39	9.65463	9.62732	0.00385195
40	9.58404	9.62624	0.00390467
41	9.61911	9.62606	0.00381331
42	9.65907	9.62685	0.00380265
43	9.61246	9.62651	0.00372892
44	9.63112	9.62662	0.00364564
45	9.61174	9.62629	0.00357959
46	9.62831	9.62633	0.00350204
47	9.58961	9.62555	0.00351359
48	9.60442	9.62511	0.00346785
49	9.64404	9.6255	0.00341852
50	9.6121	9.62523	0.00336063
51	9.64809	9.62568	0.00332449
52	9.60986	9.62537	0.00327444
53	9.59536	9.62481	0.00326125
54	9.63458	9.62499	0.00320588
55	9.64097	9.62528	0.00316073
56	9.63742	9.6255	0.00311172
57	9.61821	9.62537	0.00305975
58	9.59369	9.62482	0.00305534
59	9.63403	9.62498	0.00300754
60	9.59582	9.62449	0.00299643
61	9.66025	9.62508	0.00300409
62	9.59241	9.62455	0.00300148
63	9.62617	9.62458	0.00295395
64	9.64078	9.62483	0.00291862
65	9.64332	9.62511	0.00288754
66	9.62926	9.62518	0.00284448
67	9.64801	9.62552	0.00282236
68	9.62778	9.62555	0.00278105
69	9.64472	9.62583	0.00275458
70	9.62608	9.62583	0.00271523
71	9.62645	9.62584	0.00267701
72	9.6296	9.62589	0.00264033
73	9.63914	9.62608	0.0026104
74	9.65507	9.62647	0.00260436
75	9.60289	9.62615	0.00258854
76	9.66907	9.62672	0.00261535
77	9.62225	9.62666	0.00258202
78	9.62147	9.62659	0.00254978
79	9.5843	9.62606	0.00257309
80	9.63063	9.62611	0.00254156
81	9.58073	9.62555	0.00257119
82	9.64902	9.62584	0.00255571
83	9.62443	9.62582	0.00252497
84	9.63032	9.62588	0.00249548
85	9.61843	9.62579	0.00246766
86	9.62758	9.62581	0.00243905
87	9.6154	9.62569	0.00241395
88	9.60723	9.62548	0.00239561
89	9.62045	9.62542	0.00236936
90	9.63156	9.62549	0.00234402
91	9.62191	9.62545	0.00231859
92	9.6035	9.62521	0.00230563
93	9.60796	9.62503	0.00228829
94	9.62982	9.62508	0.00226452
95	9.61528	9.62498	0.00224303
96	9.5992	9.62471	0.00223568
97	9.60751	9.62453	0.00221965
98	9.64166	9.62471	0.00220387
99	9.63536	9.62481	0.00218424
100	9.61711	9.62474	0.00216376
