Block	Mean	Prog_mean	Error
1	0.803938	0.803938	0
2	0.800577	0.802258	0.00118835
3	0.797363	0.800626	0.00154984
4	0.805378	0.801814	0.00155223
5	0.803856	0.802223	0.00129439
6	0.805265	0.80273	0.00117379
7	0.804229	0.802944	0.00102545
8	0.799471	0.80251	0.000984891
9	0.808766	0.803205	0.00109361
10	0.800344	0.802919	0.00102098
11	0.800517	0.8027	0.000951232
12	0.799743	0.802454	0.000903329
13	0.806162	0.802739	0.000877721
14	0.800035	0.802546	0.000836003
15	0.804052	0.802646	0.000786279
16	0.799662	0.80246	0.000758936
17	0.801786	0.80242	0.000715327
18	0.801395	0.802363	0.000677851
19	0.807133	0.802614	0.000687088
20	0.797565	0.802362	0.000697575
21	0.796236	0.80207	0.000722778
22	0.799363	0.801947	0.000700326
23	0.800711	0.801893	0.000671937
24	0.801231	0.801866	0.000644505
25	0.803176	0.801918	0.000620851
26	0.801156	0.801889	0.000597663
27	0.798806	0.801775	0.000586335
28	0.806837	0.801956	0.000592609
29	0.794759	0.801707	0.000621964
30	0.804278	0.801793	0.000607105
31	0.800664	0.801757	0.000588612
32	0.801372	0.801745	0.000570341
33	0.801964	0.801751	0.000553096
34	0.801569	0.801746	0.000536855
35	0.801066	0.801726	0.000521867
36	0.804574	0.801806	0.000513329
37	0.801972	0.80181	0.000499475
38	0.807894	0.80197	0.000511345
39	0.798192	0.801873	0.00050733
40	0.807582	0.802016	0.000514332
41	0.803915	0.802062	0.000503868
42	0.798248	0.801972	0.00049999
43	0.802722	0.801989	0.000488667
44	0.801921	0.801987	0.000477563
45	0.80212	0.80199	0.00046696
46	0.802054	0.801992	0.000456811
47	0.804789	0.802051	0.000450952
48	0.803142	0.802074	0.00044213
49	0.797116	0.801973	0.000444535
50	0.801963	0.801973	0.000435644
51	0.797807	0.801891	0.000434691
52	0.80315	0.801915	0.000427006
53	0.804354	0.801961	0.000421422
54	0.798418	0.801896	0.000418696
55	0.800344	0.801867	0.000412032
56	0.801087	0.801853	0.00040491
57	0.800731	0.801834	0.000398284
58	0.805871	0.801903	0.000397454
59	0.801143	0.80189	0.000390926
60	0.805288	0.801947	0.000388489
61	0.796759	0.801862	0.000391318
62	0.805432	0.80192	0.00038922
63	0.79894	0.801872	0.000385905
64	0.801107	0.80186	0.00038006
65	0.803295	0.801882	0.000374853
66	0.801272	0.801873	0.000369288
67	0.801478	0.801867	0.000363823
68	0.802399	0.801875	0.000358557
69	0.800982	0.801862	0.000353594
70	0.801911	0.801863	0.000348543
71	0.803343	0.801884	0.000344257
72	0.80342	0.801905	0.000340136
73	0.802345	0.801911	0.000335531
74	0.79901	0.801872	0.000333279
75	0.805175	0.801916	0.000331733
76	0.797598	0.801859	0.000332197
77	0.800091	0.801836	0.000328676
78	0.798806	0.801797	0.00032675
79	0.802781	0.80181	0.000322851
80	0.800165	0.801789	0.000319469
81	0.80561	0.801836	0.000318989
82	0.798564	0.801796	0.000317585
83	0.801769	0.801796	0.000313758
84	0.800758	0.801784	0.000310266
85	0.803721	0.801807	0.000307452
86	0.804077	0.801833	0.000305009
87	0.801854	0.801833	0.000301503
88	0.806784	0.801889	0.00030328
89	0.804956	0.801924	0.000301824
90	0.801616	0.80192	0.000298489
91	0.803013	0.801932	0.000295451
92	0.804277	0.801958	0.000293336
93	0.801784	0.801956	0.000290188
94	0.801228	0.801948	0.000287205
95	0.802506	0.801954	0.000284241
96	0.802738	0.801962	0.000281398
97	0.804745	0.801991	0.000279955
98	0.800436	0.801975	0.000277548
99	0.802658	0.801982	0.00027483
100	0.805989	0.802022	0.000274987
