x	y	z
0.983057	-3.52691	-3.07984
0.983057	-3.52691	-3.07984
1.26603	-2.95401	-3.33818
1.26603	-2.95401	-3.33818
1.26603	-2.95401	-3.33818
1.26603	-2.95401	-3.33818
1.26603	-2.95401	-3.33818
2.0647	-1.56908	-4.15275
2.0647	-1.56908	-4.15275
2.0647	-1.56908	-4.15275
1.59114	-1.87753	-4.58905
1.59114	-1.87753	-4.58905
1.59114	-1.87753	-4.58905
1.59114	-1.87753	-4.58905
1.59114	-1.87753	-4.58905
1.59114	-1.87753	-4.58905
-1.91799	-1.66844	-1.95349
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
0.0664255	-0.736124	2.21021
1.10946	1.43711	3.34267
1.4975	-0.112311	4.29774
-0.797216	-3.16466	3.35774
-0.797216	-3.16466	3.35774
-0.797216	-3.16466	3.35774
-0.797216	-3.16466	3.35774
0.852483	-3.0562	3.0166
0.852483	-3.0562	3.0166
-0.741265	-0.111853	3.71931
-0.741265	-0.111853	3.71931
-0.741265	-0.111853	3.71931
1.8575	-1.14829	4.66167
1.8575	-1.14829	4.66167
2.05873	-1.52762	1.88638
2.05873	-1.52762	1.88638
2.05873	-1.52762	1.88638
1.88158	-2.65055	-0.799522
3.11494	-2.75316	2.43926
3.62831	-0.20804	3.44597
3.62831	-0.20804	3.44597
3.62831	-0.20804	3.44597
3.62831	-0.20804	3.44597
5.1526	-0.181688	3.2768
5.1526	-0.181688	3.2768
7.20491	-5.07341	-2.42454
7.20491	-5.07341	-2.42454
7.20491	-5.07341	-2.42454
6.24199	-6.70223	-4.55604
6.24199	-6.70223	-4.55604
6.6627	-6.17721	-2.95235
6.6627	-6.17721	-2.95235
5.68143	-6.22546	-3.37042
5.68143	-6.22546	-3.37042
5.68143	-6.22546	-3.37042
5.68143	-6.22546	-3.37042
2.43478	-6.99235	-1.71576
1.23985	-6.4748	-3.89681
5.27747	-1.86942	-3.63969
3.153	-0.472278	-2.06624
3.153	-0.472278	-2.06624
3.80964	1.45661	-4.26549
3.80964	1.45661	-4.26549
3.80964	1.45661	-4.26549
3.47384	3.71489	-2.33348
2.1256	2.50079	-6.36929
2.16871	-0.169217	-4.77507
2.16871	-0.169217	-4.77507
1.8739	-0.353121	-3.68652
1.8739	-0.353121	-3.68652
2.65735	-1.02087	-4.09439
2.65735	-1.02087	-4.09439
-0.275407	2.06809	-3.9115
-0.275407	2.06809	-3.9115
-0.275407	2.06809	-3.9115
1.63537	4.71848	-4.07859
0.973819	5.92373	-6.00036
0.973819	5.92373	-6.00036
0.973819	5.92373	-6.00036
1.56582	4.71535	-7.5887
1.36792	4.00943	-6.35988
1.36792	4.00943	-6.35988
3.73564	2.73462	-5.95747
0.891849	1.48788	-6.61318
2.09096	-1.65702	-5.68538
0.958487	-0.698945	-5.47374
0.107598	-1.82776	-4.70496
0.107598	-1.82776	-4.70496
0.107598	-1.82776	-4.70496
0.107598	-1.82776	-4.70496
-0.710469	-1.58126	-3.1174
-0.710469	-1.58126	-3.1174
-0.710469	-1.58126	-3.1174
-0.710469	-1.58126	-3.1174
-0.710469	-1.58126	-3.1174
-1.04795	-1.15162	-3.72143
-1.07458	-1.64179	-2.53711
-1.07458	-1.64179	-2.53711
-1.07458	-1.64179	-2.53711
-0.994038	-1.11684	-2.56233
-0.994038	-1.11684	-2.56233
-0.994038	-1.11684	-2.56233
-0.994038	-1.11684	-2.56233
-0.994038	-1.11684	-2.56233
-0.994038	-1.11684	-2.56233
0.847454	0.828437	-2.11329
0.847454	0.828437	-2.11329
0.939201	0.416967	-5.48654
0.826886	2.08018	-5.62425
0.2946	2.70422	-2.96437
1.64993	2.08268	-2.98747
1.64993	2.08268	-2.98747
2.0318	1.23344	-2.85792
2.0318	1.23344	-2.85792
1.5165	4.0027	-3.28571
1.5165	4.0027	-3.28571
-1.34665	2.4068	-4.34806
-1.54388	1.28738	-3.37571
-1.54388	1.28738	-3.37571
-1.54388	1.28738	-3.37571
-1.49613	-0.148429	-2.39991
-1.77449	0.263509	-4.41927
-1.77449	0.263509	-4.41927
-0.549952	0.711117	-4.34287
-0.789876	-0.687807	-4.78165
-0.789876	-0.687807	-4.78165
-1.02137	1.23966	-4.21157
0.279001	2.96636	-5.35944
0.279001	2.96636	-5.35944
0.832233	2.93069	-5.64904
0.832233	2.93069	-5.64904
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-0.326266	2.99243	-2.7572
-1.47807	2.57049	-3.99865
-1.47807	2.57049	-3.99865
-1.40714	0.395296	-7.02387
3.75748	-2.43966	-3.90727
2.8057	-1.58346	-1.69689
-0.642689	-2.75562	-1.41386
-0.642689	-2.75562	-1.41386
-0.642689	-2.75562	-1.41386
1.16829	-4.85965	-2.70896
1.16829	-4.85965	-2.70896
2.63413	-2.45277	-2.6002
2.63413	-2.45277	-2.6002
2.63413	-2.45277	-2.6002
-0.0240644	-1.66945	-0.664776
-0.0240644	-1.66945	-0.664776
-0.0240644	-1.66945	-0.664776
-0.0240644	-1.66945	-0.664776
-0.0240644	-1.66945	-0.664776
0.698736	-2.91974	-0.94725
1.33827	-2.03904	-1.17918
1.33827	-2.03904	-1.17918
1.3457	-1.70476	-2.38679
1.3457	-1.70476	-2.38679
1.3457	-1.70476	-2.38679
1.3457	-1.70476	-2.38679
1.3457	-1.70476	-2.38679
1.3457	-1.70476	-2.38679
1.14796	-1.72671	-4.53179
-0.780213	0.496525	-8.18432
-0.780213	0.496525	-8.18432
0.123206	0.531525	-7.45263
0.123206	0.531525	-7.45263
1.14201	-0.332711	-5.52026
2.85241	-0.644532	-3.65352
0.327765	-0.134505	-2.05427
0.327765	-0.134505	-2.05427
0.327765	-0.134505	-2.05427
0.327765	-0.134505	-2.05427
0.327765	-0.134505	-2.05427
0.327765	-0.134505	-2.05427
-3.19619	-0.857821	-2.99121
-1.23006	-0.856846	-6.00945
0.771249	-1.51944	-3.22929
-1.36596	-2.59903	-5.097
-1.36596	-2.59903	-5.097
-1.36596	-2.59903	-5.097
0.790954	-2.59394	-4.29607
0.790954	-2.59394	-4.29607
2.09351	-2.45571	-1.82072
1.23911	-3.55495	0.886078
0.626536	-4.00627	1.01624
-0.460489	-5.04225	2.32752
0.158152	-2.01163	0.486574
-1.2576	-1.34897	1.27038
2.01269	-0.500128	-1.57452
4.33632	-1.45936	-1.52572
4.33632	-1.45936	-1.52572
3.77704	-0.823181	-2.69209
3.86047	-1.54511	-3.6043
3.86047	-1.54511	-3.6043
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
4.37153	0.359982	-3.66499
1.97743	-1.44793	-2.53738
-0.126865	-1.41001	-1.66168
-0.126865	-1.41001	-1.66168
0.374963	0.974577	4.81566
0.374963	0.974577	4.81566
2.46561	0.0597489	5.36712
2.46561	0.0597489	5.36712
1.11221	0.326075	4.42859
0.196592	-0.204953	4.14572
0.196592	-0.204953	4.14572
0.661449	-3.32077	4.27962
0.387517	-3.19952	5.48405
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
1.91911	-0.788626	4.51429
3.92055	-1.00872	3.14575
3.92055	-1.00872	3.14575
