x	y	z
-0.0806529	2.21297	-6.48993
2.14147	0.474199	-7.22458
3.04082	1.33062	-4.87828
3.04082	1.33062	-4.87828
5.72385	0.555592	-2.61237
4.06744	-1.63674	-0.474317
1.09195	-2.91676	-1.05907
-0.0740607	-1.44346	-1.72675
-0.0740607	-1.44346	-1.72675
-0.0740607	-1.44346	-1.72675
1.36862	0.78315	-2.29444
1.36862	0.78315	-2.29444
-0.723514	-1.00402	-0.850077
-0.723514	-1.00402	-0.850077
-2.93216	-1.13537	-3.62332
-2.6853	1.12315	-5.47904
-2.6853	1.12315	-5.47904
-2.6853	1.12315	-5.47904
-0.192735	3.55037	-4.56795
0.871874	1.88942	-3.46013
-0.778617	-0.864531	-3.45314
-0.778617	-0.864531	-3.45314
0.446136	-1.92334	-1.57156
0.446136	-1.92334	-1.57156
0.446136	-1.92334	-1.57156
1.04148	0.893634	-1.94088
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
1.55729	-0.77143	-2.74498
2.72543	2.13787	-2.13132
0.14225	2.02941	-1.95544
0.14225	2.02941	-1.95544
0.98575	-0.566807	0.369141
0.531058	1.50613	-2.34064
0.531058	1.50613	-2.34064
0.531058	1.50613	-2.34064
0.531058	1.50613	-2.34064
-0.52096	1.9637	-2.55371
1.57117	0.0369652	-2.39532
2.72901	-1.29149	-0.815561
3.4011	-0.787115	-2.75077
1.75607	1.92118	-2.42676
1.75607	1.92118	-2.42676
1.75607	1.92118	-2.42676
1.75607	1.92118	-2.42676
2.16212	0.591557	-3.38573
0.912736	0.623638	-1.43385
-0.711827	0.811876	-1.54251
-0.711827	0.811876	-1.54251
2.10778	1.09359	1.32484
2.10778	1.09359	1.32484
-0.383534	-1.07997	-1.10023
-0.383534	-1.07997	-1.10023
-0.383534	-1.07997	-1.10023
1.61576	-1.67123	-3.01087
0.0262941	-1.69303	-3.22794
1.00864	0.605389	-1.0696
0.343831	1.08792	-1.67939
0.343831	1.08792	-1.67939
0.343831	1.08792	-1.67939
1.78463	-0.111578	-2.38148
1.78463	-0.111578	-2.38148
1.78463	-0.111578	-2.38148
1.78463	-0.111578	-2.38148
