x	y	z
31.701	26.3404	27.6077
30.92	26.8529	28.8853
32.3643	28.5441	24.6487
32.3643	28.5441	24.6487
32.5389	28.6106	20.5617
32.0612	27.481	23.0124
32.0612	27.481	23.0124
32.0612	27.481	23.0124
31.3946	28.5687	21.9662
29.3671	27.3467	25.2921
28.3595	25.8953	22.7167
28.3595	25.8953	22.7167
28.3595	25.8953	22.7167
28.3595	25.8953	22.7167
27.3408	26.7652	22.7459
26.4339	25.4357	25.038
26.4339	25.4357	25.038
27.4467	24.2546	26.4229
28.2881	21.8251	27.6752
28.2881	21.8251	27.6752
29.2078	20.7935	26.7951
28.2619	20.2366	27.9088
29.8955	21.1018	25.7899
29.6032	19.6812	25.0397
28.1353	20.0513	26.267
28.1353	20.0513	26.267
28.2684	21.0464	24.8901
28.2684	21.0464	24.8901
30.8552	21.9527	23.6735
30.8552	21.9527	23.6735
32.1754	22.8454	21.7575
28.7526	24.5691	18.2837
30.8477	22.541	19.35
29.7776	21.1888	16.0146
29.7776	21.1888	16.0146
27.7978	19.2131	15.8801
25.9094	19.1399	15.1049
25.9094	19.1399	15.1049
25.0799	17.1249	18.4568
23.7224	18.2688	19.2861
23.7224	18.2688	19.2861
23.7224	18.2688	19.2861
23.7224	18.2688	19.2861
21.1478	18.9454	18.569
21.1478	18.9454	18.569
21.2579	17.407	20.6844
21.2579	17.407	20.6844
21.2579	17.407	20.6844
17.3651	18.9205	20.6146
17.7432	17.8994	20.8865
16.3115	19.2063	20.8774
15.6697	20.5137	20.124
14.7087	20.5969	16.049
14.7087	20.5969	16.049
12.6611	19.0645	17.6983
12.6611	19.0645	17.6983
10.1225	20.4795	17.2764
10.1225	20.4795	17.2764
12.0018	21.651	14.2025
13.9164	18.7594	12.8709
15.6498	16.874	13.8492
15.6498	16.874	13.8492
15.6498	16.874	13.8492
15.6498	16.874	13.8492
15.7445	15.7776	10.926
15.7445	15.7776	10.926
13.0314	16.7685	12.2791
10.8903	18.2109	9.70554
9.25046	18.6432	9.31574
7.26088	17.6074	11.5393
4.72612	18.123	9.19351
5.01697	15.5595	8.79579
1.31406	15.5345	8.90277
1.31406	15.5345	8.90277
0.828153	17.6088	8.31373
5.02589	14.2028	6.68775
3.3572	14.7448	6.67244
3.3572	14.7448	6.67244
3.4013	14.1379	5.53466
3.95404	13.8584	6.73522
6.1183	13.7211	7.19996
6.1183	13.7211	7.19996
4.76345	15.117	8.16035
4.76345	15.117	8.16035
4.76345	15.117	8.16035
5.46034	11.905	9.02243
5.46034	11.905	9.02243
5.46034	11.905	9.02243
6.46546	11.2726	8.70702
6.26939	10.2846	5.63869
6.26939	10.2846	5.63869
4.49462	8.89526	5.44757
3.63796	6.84855	6.49554
3.63796	6.84855	6.49554
7.31468	3.44265	4.87857
8.0649	4.72577	2.16944
8.0649	4.72577	2.16944
5.12168	3.19556	2.98192
5.12168	3.19556	2.98192
1.35459	4.03364	2.22829
1.35459	4.03364	2.22829
1.35459	4.03364	2.22829
1.35459	4.03364	2.22829
-1.3447	3.40139	1.19288
-1.62738	0.182566	0.418512
-0.271496	-0.505916	-1.74055
2.20595	0.361382	-5.08914
2.20595	0.361382	-5.08914
2.20595	0.361382	-5.08914
0.630727	-1.65395	-4.18432
0.24382	-1.19287	-5.78839
0.489246	-0.346105	-7.65447
0.489246	-0.346105	-7.65447
3.22377	0.447363	-7.45675
1.88843	0.129905	-6.85665
1.88843	0.129905	-6.85665
1.88843	0.129905	-6.85665
3.02983	-0.670374	-3.41128
0.0905116	1.52036	-4.34368
0.685298	2.13813	-3.1915
0.685298	2.13813	-3.1915
1.12191	-1.26428	-5.00527
-0.291971	0.231823	-5.171
-2.79379	1.22934	-3.76484
-2.79379	1.22934	-3.76484
-2.79379	1.22934	-3.76484
-3.28231	-0.465819	-5.19883
-2.47998	-1.48985	-5.02531
-0.176117	-2.44402	-3.94333
-0.508896	0.0417804	-3.4305
0.397255	1.04472	-1.69395
0.397255	1.04472	-1.69395
0.397255	1.04472	-1.69395
1.36359	-0.643939	1.457
1.36359	-0.643939	1.457
0.600417	-0.763725	-1.7009
0.600417	-0.763725	-1.7009
0.600417	-0.763725	-1.7009
0.135156	0.228741	-2.04286
-0.127785	-0.534472	-2.41727
-0.127785	-0.534472	-2.41727
-0.127785	-0.534472	-2.41727
-0.985297	-2.88171	-2.54655
