x	y	z
27.7566	27.2635	28.3511
28.3121	26.2346	27.0625
25.8416	28.4369	27.1793
25.8416	28.4369	27.1793
26.314	27.2465	25.9166
26.314	27.2465	25.9166
26.8213	26.4304	24.9242
27.7922	26.1883	23.6233
29.8369	28.0274	22.8869
28.4559	27.7732	21.2489
26.737	27.8764	23.0354
26.737	27.8764	23.0354
26.2609	27.9228	20.7396
25.926	26.8458	21.6921
25.926	26.8458	21.6921
25.926	26.8458	21.6921
25.926	26.8458	21.6921
25.926	26.8458	21.6921
25.926	26.8458	21.6921
27.2447	24.4725	21.3847
27.2447	24.4725	21.3847
24.2767	22.474	22.2268
26.6665	21.1828	19.7793
26.6665	21.1828	19.7793
26.6665	21.1828	19.7793
28.2855	19.0564	20.8819
28.2855	19.0564	20.8819
29.5943	17.0464	20.9215
29.3186	17.9021	20.8641
30.9261	17.7307	19.2068
30.7216	15.7995	19.7714
29.0792	18.3258	16.9126
26.4745	18.6026	17.307
24.2357	19.6812	15.2491
24.2712	20.3254	17.9722
24.2712	20.3254	17.9722
24.9534	19.1844	15.4098
24.9534	19.1844	15.4098
23.8128	17.137	16.2051
22.8825	16.4215	13.7965
24.1405	13.8173	14.0576
25.4764	14.7719	11.1534
23.6336	15.4654	9.25224
20.6647	17.6743	9.3271
20.6647	17.6743	9.3271
20.6647	17.6743	9.3271
20.6647	17.6743	9.3271
20.6647	17.6743	9.3271
22.4716	15.4908	10.7722
22.2382	14.9482	11.5647
21.1173	12.0608	9.13795
21.275	10.9991	11.9774
19.4397	11.1912	12.3435
19.4397	11.1912	12.3435
16.8115	11.7487	12.977
16.8115	11.7487	12.977
17.9326	9.15275	12.1336
18.8323	10.168	9.65385
18.8323	10.168	9.65385
17.7471	7.51794	10.5795
17.2245	6.02221	8.38997
15.4735	5.95771	10.8186
13.7178	4.18624	8.9017
12.4976	4.3883	10.893
14.585	6.05489	10.4929
14.585	6.05489	10.4929
14.9697	3.26262	8.95834
14.9697	3.26262	8.95834
13.5831	1.27828	6.10098
13.2368	-0.102302	3.37839
12.0357	0.0779213	0.858994
13.6068	-1.86538	3.34588
13.4194	-0.552442	3.94741
11.7576	-3.53626	2.77928
11.7576	-3.53626	2.77928
11.7576	-3.53626	2.77928
8.84765	-1.70704	4.15266
8.84765	-1.70704	4.15266
7.61146	-3.83628	6.54062
9.9912	-1.41831	5.08309
9.9912	-1.41831	5.08309
9.9912	-1.41831	5.08309
8.64058	-3.42749	6.76052
8.34049	-3.87104	7.46897
8.13207	-1.55817	4.52848
8.13207	-1.55817	4.52848
6.3691	-3.359	5.50957
6.3691	-3.359	5.50957
6.3691	-3.359	5.50957
6.3691	-3.359	5.50957
5.64149	-3.17994	3.05671
5.64149	-3.17994	3.05671
5.64149	-3.17994	3.05671
5.84462	-2.33824	3.37886
5.84462	-2.33824	3.37886
5.84462	-2.33824	3.37886
7.84691	-0.172386	3.05315
7.84691	-0.172386	3.05315
7.60471	2.07153	5.71297
7.60471	2.07153	5.71297
5.06982	0.751786	4.98611
5.06982	0.751786	4.98611
5.06982	0.751786	4.98611
5.06982	0.751786	4.98611
5.06982	0.751786	4.98611
5.06982	0.751786	4.98611
4.99443	0.617053	4.78627
2.24733	-2.1052	7.48662
0.177386	0.13606	9.27441
0.177386	0.13606	9.27441
-1.24872	1.70708	6.27987
-3.20909	2.26651	4.05571
-3.20909	2.26651	4.05571
-3.20909	2.26651	4.05571
-0.868567	1.69321	4.55715
-2.17817	1.9124	2.47956
-2.17817	1.9124	2.47956
0.690904	3.29669	2.69262
-0.801816	2.08619	2.6557
-0.801816	2.08619	2.6557
-1.94143	-0.368579	4.3336
-1.94143	-0.368579	4.3336
-1.17233	-1.72158	5.38589
-1.17233	-1.72158	5.38589
-1.1903	-1.97557	5.89345
-3.82967	0.27188	4.58035
-4.57005	-0.536928	5.3285
-4.57005	-0.536928	5.3285
-4.57005	-0.536928	5.3285
-3.05362	0.788668	3.95908
-3.05362	0.788668	3.95908
-3.05362	0.788668	3.95908
-3.05362	0.788668	3.95908
-3.05362	0.788668	3.95908
-5.1209	-1.12239	5.28033
-3.72999	0.631968	5.15684
-3.72999	0.631968	5.15684
-1.13425	-1.93645	4.44635
-1.13425	-1.93645	4.44635
-1.13425	-1.93645	4.44635
-2.60745	0.685189	3.72397
-2.60745	0.685189	3.72397
-2.60745	0.685189	3.72397
-2.92632	3.31534	1.88677
-2.70298	0.506178	-1.04027
-2.70298	0.506178	-1.04027
-2.70298	0.506178	-1.04027
-2.70298	0.506178	-1.04027
-4.19404	-1.14622	-3.43233
-3.61818	-2.03227	-2.57139
-3.61818	-2.03227	-2.57139
-3.61818	-2.03227	-2.57139
-1.93115	0.772237	-4.68781
-1.93115	0.772237	-4.68781
-1.93115	0.772237	-4.68781
-1.93115	0.772237	-4.68781
-1.93115	0.772237	-4.68781
0.341608	-0.911241	-4.64778
-0.968287	-1.93576	-2.73512
1.44961	0.882077	-3.69146
1.44961	0.882077	-3.69146
4.07297	1.26112	-1.48725
4.07297	1.26112	-1.48725
4.07297	1.26112	-1.48725
4.07297	1.26112	-1.48725
2.57758	0.456023	-2.64412
2.57758	0.456023	-2.64412
2.57758	0.456023	-2.64412
2.57758	0.456023	-2.64412
2.57758	0.456023	-2.64412
2.57758	0.456023	-2.64412
0.564116	-0.0153993	-4.45407
0.564116	-0.0153993	-4.45407
-0.273879	-0.927585	-2.3736
-0.273879	-0.927585	-2.3736
-0.273879	-0.927585	-2.3736
0.654504	1.14347	-2.28872
-2.31325	-0.0386582	-3.16544
-1.89989	-2.07885	-1.56517
0.592343	-2.60625	-4.53643
0.592343	-2.60625	-4.53643
1.61996	-1.265	-2.5334
2.18949	-2.3479	-3.51419
2.18949	-2.3479	-3.51419
3.33911	0.346101	-3.41519
2.28694	-0.880481	-3.23136
0.154856	-3.81877	-3.66248
2.29684	-0.915792	-6.32032
0.0693254	0.0220279	-4.23885
-1.90454	-1.67666	-2.61131
