Mean	Error
4.77166	0
4.98865	0.153431
4.92334	0.115352
4.94677	0.0888609
5.04208	0.111001
4.98483	0.106244
5.01833	0.0962031
5.01109	0.0844495
4.97661	0.0818027
4.97317	0.0736949
4.96172	0.0678791
4.98423	0.0658499
4.99041	0.0610735
4.98645	0.0568389
4.98498	0.0530688
4.99489	0.0506691
4.98372	0.0489042
5.03172	0.0656439
5.00198	0.0685943
4.9741	0.0706016
4.94433	0.07325
4.92625	0.0721158
4.92866	0.0690203
4.97158	0.0783642
4.96582	0.0754414
4.98517	0.074981
4.9775	0.0725955
4.98261	0.0701827
4.96958	0.0689613
4.96982	0.066663
4.9827	0.0657441
4.98142	0.0637021
4.97471	0.0621235
4.98265	0.0608013
4.99327	0.0599845
4.97404	0.0613217
4.97015	0.0597879
4.9787	0.058823
4.97993	0.0573274
4.97778	0.0559343
4.97544	0.0546191
4.98088	0.0535884
4.97521	0.0526403
4.96317	0.0528037
4.95924	0.0517764
4.95682	0.0507076
4.96698	0.0506369
4.97046	0.0497013
4.96933	0.0486998
4.97951	0.0487792
4.97554	0.0479844
4.98493	0.0479728
4.99264	0.0476829
4.98379	0.047614
4.98714	0.0468656
4.99675	0.0470051
4.99228	0.0463927
4.98436	0.0462636
4.98939	0.0457521
4.98948	0.0449896
4.98697	0.0443218
4.98395	0.0437096
4.99544	0.0444995
4.99327	0.0438573
4.99352	0.0431833
4.998	0.0427609
4.9957	0.0421842
4.99523	0.0415664
4.99364	0.0409944
4.99761	0.0405999
4.99983	0.0400886
5.00099	0.0395488
4.99652	0.0392595
4.99862	0.0387852
5.00465	0.0387346
5.00512	0.0382277
4.99967	0.0381172
4.99729	0.037703
4.99208	0.0375833
4.98919	0.0372247
4.99037	0.0367838
4.98855	0.03638
4.98905	0.0359451
4.98951	0.0355201
4.98876	0.0351102
4.98507	0.0348944
4.98094	0.0347368
4.98668	0.034812
4.98259	0.0346604
4.97923	0.0344379
4.98191	0.0341637
4.98179	0.0337925
4.98372	0.033484
4.97908	0.0334473
4.97801	0.0331123
4.9784	0.0327697
4.98045	0.0324959
4.9777	0.0322809
4.97253	0.0323659
4.96969	0.0321665
