Mean	Error
5.08943	0
5.11314	0.0167653
4.885	0.18661
4.94882	0.150474
5.02812	0.13972
5.03907	0.116862
5.02907	0.100594
5.04732	0.0896594
5.00512	0.0890752
5.00668	0.0801813
4.99076	0.074455
4.98327	0.0686269
4.97311	0.0640948
4.97181	0.0595297
4.96584	0.0558604
4.97792	0.0536598
4.97654	0.0505209
4.99515	0.0510239
4.96609	0.0560031
4.96664	0.0532057
4.97589	0.0514693
4.97053	0.0494073
4.96157	0.0480652
4.9589	0.0461368
4.94826	0.0455012
4.94977	0.0437762
4.94303	0.0426706
4.94961	0.04165
4.9487	0.0402236
4.94452	0.0390993
4.97454	0.0479976
4.97121	0.0466132
4.98351	0.0467959
4.99408	0.0465968
4.98764	0.0457083
4.9856	0.0444841
4.99353	0.0439829
4.9847	0.0437033
4.98883	0.042778
4.98528	0.0418557
4.99143	0.0412839
4.99944	0.0410707
4.99855	0.0401252
4.99751	0.0392267
4.99834	0.0383637
4.99436	0.0377355
4.99723	0.0370417
4.98359	0.0386983
4.99261	0.0389436
4.99082	0.0382055
4.98491	0.0379119
4.98123	0.0373608
4.98402	0.0367597
4.98856	0.0363594
4.99147	0.0358143
4.99225	0.0351832
4.99369	0.0345954
4.99267	0.0340141
4.99997	0.0342135
5.00075	0.0336521
5.00619	0.0335376
5.0111	0.0333541
5.01084	0.0328256
5.01263	0.0323615
5.01592	0.0320304
5.01783	0.0316019
5.02053	0.0312453
5.01682	0.0310053
5.02382	0.0313356
5.03063	0.0316198
5.03178	0.0311953
5.03258	0.0307724
5.02573	0.0311043
5.03319	0.0315662
5.03392	0.0311537
5.03464	0.0307521
5.02684	0.0313252
5.0239	0.0310622
5.02685	0.0308092
5.01695	0.0319753
5.01289	0.0318372
5.01264	0.03145
5.01002	0.0311799
5.00601	0.0310656
5.0042	0.0307527
5.00445	0.0303961
5.00845	0.0303096
5.01076	0.030053
5.01503	0.0300165
5.01153	0.0298856
5.01186	0.0295589
5.01135	0.0292421
5.01667	0.029408
5.01609	0.0291008
5.01112	0.0292163
5.0143	0.0290848
5.01096	0.0289769
5.01186	0.0286954
5.00602	0.0289933
5.00777	0.0287559
