x	y	z
-1.67109	-0.177729	0.779694
-1.67109	-0.177729	0.779694
-1.67109	-0.177729	0.779694
-1.54164	-0.449369	0.255288
-1.54164	-0.449369	0.255288
-1.54164	-0.449369	0.255288
-1.09491	-0.197807	0.533436
-1.09491	-0.197807	0.533436
-1.18708	0.0646291	0.0535628
-1.18708	0.0646291	0.0535628
-1.96523	0.486742	-0.312744
-1.96523	0.486742	-0.312744
-1.37487	0.4885	-1.60319
-1.37487	0.4885	-1.60319
-1.86669	0.625123	-0.288809
-1.86669	0.625123	-0.288809
-1.58272	0.709957	-0.329025
-1.58272	0.709957	-0.329025
-1.81769	0.262843	-0.28747
-1.81769	0.262843	-0.28747
-1.81769	0.262843	-0.28747
-1.86509	0.507039	-0.0504609
-1.05054	0.829514	-0.515097
-1.05054	0.829514	-0.515097
-1.05054	0.829514	-0.515097
-0.855062	0.817431	-0.594574
-0.855062	0.817431	-0.594574
-0.855062	0.817431	-0.594574
-0.855062	0.817431	-0.594574
-0.855062	0.817431	-0.594574
-0.408309	1.12113	-1.19623
-0.0315799	0.446015	0.129767
-0.0315799	0.446015	0.129767
-0.0315799	0.446015	0.129767
-0.0315799	0.446015	0.129767
0.742909	0.412501	-0.314925
0.742909	0.412501	-0.314925
0.777095	0.00543684	-0.00186367
0.333308	0.267614	-1.37998
0.903015	-0.48501	-0.173205
0.515036	0.0777947	-0.873705
0.0996829	-0.612905	-0.434282
0.0996829	-0.612905	-0.434282
0.685814	-1.10472	-0.442276
0.00547963	-0.505376	-0.276581
0.0144682	0.0303789	-0.889745
0.0717631	0.289302	-1.05875
-0.730099	0.197585	-0.662447
-0.730099	0.197585	-0.662447
-0.5019	0.0394269	-0.0867965
-0.0864215	0.100858	-0.206223
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.0654444	-0.402235	-0.582357
0.689905	-0.368187	-1.16465
0.771229	-0.652006	-1.60445
0.771229	-0.652006	-1.60445
