x	y	z
0.190815	0.421742	0.991624
0.190815	0.421742	0.991624
0.190815	0.421742	0.991624
0.190815	0.421742	0.991624
0.190815	0.421742	0.991624
0.360106	0.868243	0.636593
0.360106	0.868243	0.636593
0.360106	0.868243	0.636593
0.367864	0.60743	-0.0878192
0.367864	0.60743	-0.0878192
0.367864	0.60743	-0.0878192
0.367864	0.60743	-0.0878192
1.47663	-0.498929	-0.611667
1.47663	-0.498929	-0.611667
2.06413	0.688102	-1.76443
1.59925	0.424613	-1.92891
1.03636	0.662469	-0.708227
0.158889	0.42898	0.494716
0.337048	-0.0804419	1.29138
-0.282163	0.82728	0.488151
-0.282163	0.82728	0.488151
-0.282163	0.82728	0.488151
-0.282163	0.82728	0.488151
-0.282163	0.82728	0.488151
-1.48999	0.553437	0.507225
-1.48999	0.553437	0.507225
-1.48999	0.553437	0.507225
-1.52773	-0.579235	-0.477844
-1.52773	-0.579235	-0.477844
-1.6484	-0.204269	-0.732798
-1.6484	-0.204269	-0.732798
-1.18193	0.193495	-1.17666
-0.703719	0.961348	-1.14751
-0.703719	0.961348	-1.14751
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.108257	0.446472	-0.362757
-0.521628	0.505612	0.321102
-0.558855	0.0168294	1.47921
0.43666	-0.910317	1.21691
-0.208429	-1.43234	1.03702
-0.208429	-1.43234	1.03702
-1.15824	-0.264485	1.13445
-0.340455	-0.212294	1.37307
-0.298675	0.19834	0.19222
-0.298675	0.19834	0.19222
-0.864792	0.0442009	0.61449
0.0860557	-0.122713	0.540602
0.0860557	-0.122713	0.540602
0.690874	-1.21946	0.7099
0.690874	-1.21946	0.7099
1.79583	-0.994047	1.44738
1.79583	-0.994047	1.44738
1.22731	-1.38634	1.43422
1.22731	-1.38634	1.43422
1.22731	-1.38634	1.43422
2.12774	-2.591	0.212788
2.12774	-2.591	0.212788
2.12774	-2.591	0.212788
2.12774	-2.591	0.212788
2.12774	-2.591	0.212788
2.12774	-2.591	0.212788
0.957319	-2.56577	0.716912
1.81622	-1.77283	0.736915
2.59559	-0.903995	-0.421657
2.58823	-0.713379	0.273707
2.18697	-1.40295	0.409042
2.18697	-1.40295	0.409042
3.21059	-0.552993	-0.441619
2.86408	-1.28031	-0.118727
3.89014	-1.77803	-0.2888
2.8718	-0.60625	0.0111147
2.83705	-0.746742	-0.139884
1.97646	-1.22156	-1.24898
1.97646	-1.22156	-1.24898
2.08073	-1.01914	-0.626479
1.13794	-1.5156	0.342886
0.924139	-1.20952	0.662735
0.374189	-2.04058	-0.0798761
-0.363441	-1.39536	0.470095
0.0632753	-0.657018	0.0161322
0.0632753	-0.657018	0.0161322
0.0632753	-0.657018	0.0161322
0.0632753	-0.657018	0.0161322
-0.862599	-0.0740607	0.139411
-0.307703	-0.840095	0.0318263
-0.307703	-0.840095	0.0318263
-0.307703	-0.840095	0.0318263
-0.281448	-1.56618	0.752618
-0.307108	-1.82838	1.09813
-0.307108	-1.82838	1.09813
0.0458173	-2.12243	0.370601
0.0458173	-2.12243	0.370601
0.0458173	-2.12243	0.370601
-0.976386	-2.14824	-0.856982
-0.976386	-2.14824	-0.856982
0.240902	-1.05231	-2.08893
0.442695	-1.79154	-1.96098
0.442695	-1.79154	-1.96098
0.442695	-1.79154	-1.96098
1.53148	-1.43633	-2.04046
1.53148	-1.43633	-2.04046
1.13693	-0.225769	-1.44739
0.738726	0.701975	-0.658533
0.738726	0.701975	-0.658533
0.738726	0.701975	-0.658533
0.738726	0.701975	-0.658533
0.738726	0.701975	-0.658533
1.8866	0.353327	-0.0928392
2.15964	0.227753	-0.744272
2.15964	0.227753	-0.744272
2.15964	0.227753	-0.744272
1.36301	0.388617	-0.801622
2.53564	1.12567	-0.806299
2.53564	1.12567	-0.806299
2.10174	0.884073	-0.791135
2.10174	0.884073	-0.791135
1.00262	0.216526	-1.28613
1.00262	0.216526	-1.28613
1.01769	1.2938	-0.638731
1.01769	1.2938	-0.638731
0.763342	0.130082	-1.13812
0.763342	0.130082	-1.13812
-0.397767	-1.04485	-0.338428
-0.467768	-0.43798	0.08081
0.102415	0.165471	-0.127677
0.102415	0.165471	-0.127677
0.421008	-0.575046	-0.889173
0.421008	-0.575046	-0.889173
0.421008	-0.575046	-0.889173
0.447322	-0.636378	-1.93654
-0.595379	0.342401	-0.716575
-0.595379	0.342401	-0.716575
0.270713	0.326203	-1.1682
0.270713	0.326203	-1.1682
0.270713	0.326203	-1.1682
0.745813	-0.176168	-0.681659
0.745813	-0.176168	-0.681659
-0.0443632	-0.425094	-0.967302
-0.0443632	-0.425094	-0.967302
-1.07239	-0.770774	-0.617049
-1.26712	-1.89798	-1.37318
-1.26712	-1.89798	-1.37318
-2.08044	-1.19383	-0.769795
-2.28252	-0.900117	-0.288842
-2.28252	-0.900117	-0.288842
-1.87762	-0.578617	-0.943606
-1.05419	-0.99429	-0.725324
-1.05419	-0.99429	-0.725324
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
-0.172165	-0.0599407	0.102452
0.401518	0.209584	0.430278
0.401518	0.209584	0.430278
0.401518	0.209584	0.430278
0.422731	0.603007	-0.213887
0.422731	0.603007	-0.213887
0.422731	0.603007	-0.213887
-0.573662	0.243389	0.251991
-0.573662	0.243389	0.251991
-0.573662	0.243389	0.251991
-0.573662	0.243389	0.251991
-0.573662	0.243389	0.251991
0.574436	0.844003	0.178414
0.574436	0.844003	0.178414
0.574436	0.844003	0.178414
0.574436	0.844003	0.178414
0.914307	-0.396172	-0.459115
