x	y	z
20	20	20
18.8508	20.0841	20.5442
18.8508	20.0841	20.5442
18.8441	20.1637	20.875
19.1039	20.5153	19.3927
19.0982	20.295	19.812
18.1172	19.8056	21.1714
16.6487	19.3657	21.3145
16.6487	19.3657	21.3145
16.6487	19.3657	21.3145
16.6912	18.8955	20.411
17.5674	18.9707	20.562
16.4067	18.9627	17.8737
16.6953	17.0561	18.2223
16.8414	16.6049	18.1298
16.3216	16.219	18.2892
15.9052	14.9569	18.1145
16.1449	14.6133	18.7216
15.4487	16.0524	17.4538
15.3484	15.7632	15.9432
15.3062	16.2229	14.8013
13.5656	16.1863	15.5352
14.0198	15.4272	14.6259
15.0116	14.4988	14.4279
15.2291	15.4209	14.1405
15.1615	15.6234	13.7413
14.235	15.9619	13.332
14.5316	14.7593	13.8249
13.6597	16.037	13.6463
13.8475	15.6204	13.7045
13.4835	15.2729	12.9114
12.4771	15.404	11.5947
11.7529	15.0255	13.2284
11.7529	15.0255	13.2284
10.8857	13.5853	15.1595
9.69667	13.5078	15.3033
9.69667	13.5078	15.3033
10.1075	13.4035	15.1621
9.47957	13.2778	14.4945
9.24769	11.6012	14.3535
9.04199	12.0215	13.9073
9.71016	12.045	13.2998
9.62519	12.1165	13.614
8.71466	12.9393	13.009
8.71466	12.9393	13.009
6.82073	13.0158	12.3488
7.11898	11.7268	12.6211
7.11898	11.7268	12.6211
6.69634	12.0485	13.8787
6.60041	11.8938	12.5909
6.14937	12.0587	12.9579
6.04335	11.1797	12.5969
7.02698	10.8593	11.8951
7.02698	10.8593	11.8951
7.24641	11.2225	10.9532
7.22009	11.57	10.768
7.22009	11.57	10.768
7.66346	10.415	11.1221
7.66346	10.415	11.1221
7.40992	10.6587	10.8072
7.40992	10.6587	10.8072
6.71415	10.4133	9.97142
5.86402	9.7359	9.78958
5.17111	10.0003	8.71675
5.17111	10.0003	8.71675
5.22494	10.2517	8.16952
5.22494	10.2517	8.16952
5.22494	10.2517	8.16952
4.7603	10.1396	8.22914
4.30183	9.62153	7.5276
4.30183	9.62153	7.5276
4.32005	9.87587	6.168
4.15212	9.31119	5.07396
4.15212	9.31119	5.07396
3.30573	9.53068	5.84258
3.11034	8.33057	6.46827
3.4979	7.40409	6.45729
4.7297	7.5908	6.36169
4.7297	7.5908	6.36169
4.59573	6.99531	7.25946
4.59573	6.99531	7.25946
4.27718	7.01047	7.37387
4.27718	7.01047	7.37387
4.27718	7.01047	7.37387
4.11696	7.24439	6.85709
4.11696	7.24439	6.85709
4.11696	7.24439	6.85709
2.97112	7.42308	5.29355
3.96372	6.92817	4.46164
3.84329	6.5763	4.23388
3.3175	5.56439	3.96664
3.20484	6.3126	3.98644
