x	y	z
19.0566	20.9696	19.4094
19.8216	20.8863	19.5862
19.3526	20.6817	19.4668
19.7172	19.9897	18.6699
18.9907	19.4439	18.9479
17.8521	19.1491	18.0281
17.8521	19.1491	18.0281
16.8486	19.8347	17.9744
16.3715	19.8268	17.8803
16.1049	19.3396	18.2381
15.6813	20.474	17.7346
15.9358	20.2443	17.0819
15.9121	20.0988	17.3556
15.9121	20.0988	17.3556
15.9121	20.0988	17.3556
15.1737	20.0256	17.7466
14.5289	19.2599	17.3692
14.5289	19.2599	17.3692
14.9272	19.9297	17.3783
14.9272	19.9297	17.3783
14.0442	19.5321	17.955
14.0442	19.5321	17.955
13.2438	18.6787	17.9542
13.2116	17.5925	16.735
13.2887	16.4464	17.4765
14.4908	16.1602	17.8189
13.4601	15.7	19.0065
13.9362	14.6775	18.9696
13.6234	15.5594	17.8143
13.6234	15.5594	17.8143
13.0007	15.6926	17.5098
11.7748	15.4696	17.5031
11.2206	16.432	18.2406
10.6162	17.2822	17.0446
10.8539	17.9778	16.2893
9.98961	17.1505	15.1185
9.98961	17.1505	15.1185
9.98961	17.1505	15.1185
8.81862	16.8846	13.9882
8.85056	16.3439	12.7515
8.85056	16.3439	12.7515
8.85056	16.3439	12.7515
10.0312	15.3394	12.9363
10.1782	15.6917	12.5247
10.1782	15.6917	12.5247
9.35488	15.2911	13.2303
9.28159	16.2709	12.38
9.28159	16.2709	12.38
9.28159	16.2709	12.38
8.96119	15.1205	13.1201
9.03375	14.0946	14.1449
9.03375	14.0946	14.1449
8.33311	13.6007	14.3049
8.33311	13.6007	14.3049
8.60597	13.9728	15.2615
7.4883	12.9949	14.2841
8.26737	13.4637	13.1562
9.09533	13.5269	12.0125
10.0636	13.815	10.8982
10.0636	13.815	10.8982
9.86987	12.8746	11.3703
10.213	12.9227	10.5561
10.213	12.9227	10.5561
10.213	12.9227	10.5561
11.3127	13.663	9.4082
10.825	14.3612	8.45184
10.825	14.3612	8.45184
11.9386	13.4944	8.74126
11.9386	13.4944	8.74126
11.6514	13.9613	7.86333
11.6514	13.9613	7.86333
12.229	12.8767	8.39621
12.9627	12.9691	8.18939
12.8475	12.0119	9.02122
12.6438	12.074	8.33811
12.6438	12.074	8.33811
13.4838	11.0667	7.57743
