Mean	Error
1.26359	0
1.42358	0.113127
1.44766	0.0779383
1.45289	0.058629
1.48445	0.0547413
1.51402	0.0530099
1.52237	0.0460892
1.5347	0.041945
1.51146	0.0432447
1.51072	0.0389267
1.51134	0.0353928
1.50958	0.0324871
1.51513	0.0304583
1.51162	0.028484
1.50691	0.0269718
1.50439	0.0254035
1.50541	0.0239298
1.49663	0.0241599
1.50003	0.0231265
1.50016	0.0219705
1.49793	0.0210366
1.50102	0.0203055
1.50668	0.020195
1.50511	0.0194139
1.49611	0.0206193
1.49063	0.0205408
1.49138	0.0197938
1.49122	0.0190876
1.49091	0.0184318
1.49357	0.0180074
1.49522	0.0175025
1.49628	0.0169873
1.49128	0.0171913
1.48291	0.0186119
1.48103	0.0181752
1.48169	0.0176825
1.48146	0.0172061
1.4847	0.017056
1.48738	0.0168281
1.49184	0.0169876
1.49218	0.0165766
1.49075	0.0162427
1.48976	0.0158951
1.49393	0.0160713
1.49655	0.0159255
1.49495	0.0156589
1.49759	0.0155465
1.50085	0.0155614
1.50217	0.0152997
1.50191	0.0149959
1.50382	0.0148222
1.50418	0.0145415
1.50375	0.0142735
1.50055	0.0143622
1.5005	0.0141012
1.50182	0.013911
1.50473	0.0139696
1.50259	0.0138929
1.50333	0.0136775
1.50609	0.013725
1.50575	0.0135042
1.50993	0.0139185
1.50901	0.0137281
1.50444	0.0142565
1.50417	0.0140396
1.50472	0.0138377
1.50427	0.0136384
1.50523	0.0134715
1.50492	0.0132798
1.50325	0.013195
1.50084	0.0132274
1.50015	0.0130614
1.50007	0.0128828
1.50018	0.0127092
1.50075	0.0125526
1.50507	0.0131095
1.50474	0.0129435
1.50209	0.0130461
1.50361	0.0129695
1.5089	0.0138458
1.50739	0.0137571
1.50908	0.0136923
1.50801	0.0135688
1.51259	0.014157
1.51103	0.0140762
1.5117	0.0139288
1.50949	0.0139425
1.50871	0.013806
1.50933	0.0136648
1.50795	0.013583
1.5068	0.013482
1.509	0.013514
1.50635	0.0136261
1.50697	0.013495
1.5076	0.0133678
1.50803	0.0132356
1.50759	0.0131067
1.50788	0.0129762
1.50881	0.0128786
1.50852	0.012753
