Mean	Error
1.35729	0
1.4499	0.0654813
1.44312	0.0440039
1.46145	0.0366241
1.44932	0.0312445
1.4804	0.0385066
1.49318	0.0350633
1.52672	0.0438841
1.52324	0.0391456
1.54768	0.0421752
1.53655	0.0397842
1.54294	0.0369793
1.54164	0.0341577
1.52708	0.0346829
1.52916	0.0324333
1.52466	0.030717
1.53437	0.0304062
1.53289	0.0287529
1.52641	0.0279618
1.51701	0.0280977
1.51796	0.0267758
1.51289	0.0260341
1.51863	0.0255258
1.51967	0.0244836
1.51677	0.0236755
1.52251	0.0234501
1.52017	0.0226982
1.52097	0.0219018
1.51927	0.0212125
1.52026	0.0205285
1.51761	0.0200363
1.51173	0.0202555
1.51234	0.0196509
1.51276	0.0190774
1.51974	0.0197689
1.52644	0.0203219
1.52201	0.0202493
1.51666	0.0204112
1.5159	0.0199019
1.51261	0.0196749
1.51107	0.019255
1.51275	0.0188701
1.51534	0.0186077
1.51715	0.0182721
1.51955	0.0180237
1.51661	0.0178706
1.52014	0.0178364
1.5183	0.0175597
1.51542	0.0174354
1.51602	0.0170969
1.51456	0.0168233
1.51288	0.0165842
1.51263	0.0162732
1.5125	0.0159723
1.51047	0.0158111
1.51013	0.0155323
1.507	0.0155716
1.50543	0.0153827
1.5021	0.0154775
1.49987	0.0153797
1.49956	0.0151307
1.50141	0.0149994
1.50751	0.0159516
1.50632	0.0157461
1.50759	0.0155549
1.51113	0.0157172
1.5073	0.0159441
1.50366	0.0161199
1.50416	0.0158942
1.50371	0.0156735
1.5023	0.0155158
1.5025	0.0153016
1.50178	0.0151087
1.50385	0.0150451
1.50204	0.0149526
1.50404	0.0148891
1.50323	0.0147178
1.50414	0.0145573
1.50499	0.0143976
1.50669	0.0143183
1.50522	0.0142165
1.50447	0.0140629
1.50517	0.0139106
1.50358	0.013835
1.50333	0.0136744
1.50184	0.0135966
1.50279	0.0134736
1.50307	0.0133232
1.50494	0.0133048
1.50721	0.0133488
1.50558	0.0133018
1.50333	0.0133453
1.50405	0.0132212
1.50732	0.0134778
1.50656	0.0133573
1.50598	0.0132307
1.50487	0.0131407
1.50396	0.0130377
1.50426	0.0129094
1.50312	0.0128307
