Block	Mean	Prog_mean	Error	Temperature
50	84.6063	78.2532	0.885317	0.5
50	47.6265	44.0572	0.61705	0.6
50	22.2249	24.4238	0.391487	0.7
50	13.7976	15.0861	0.195233	0.8
50	10.4534	10.3157	0.103108	0.9
50	7.05639	7.53715	0.0674592	1.0
50	5.69244	5.62397	0.0438178	1.1
50	4.33357	4.43998	0.0342732	1.2
50	3.65487	3.58474	0.022635	1.3
50	2.94181	2.96812	0.0166641	1.4
50	2.35363	2.52656	0.0159094	1.5
50	2.14489	2.16966	0.00981795	1.6
50	1.9764	1.90707	0.00875127	1.7
50	1.66789	1.68223	0.00743177	1.8
50	1.54802	1.50321	0.00542894	1.9
50	1.32254	1.35537	0.00490982	2.0
