Block	Mean	Prog_mean	Error	Temperature
50	-0.97872	-0.973255	0.000880508	0.5
50	-0.937736	-0.934909	0.000807581	0.6
50	-0.890008	-0.891772	0.000641602	0.7
50	-0.849288	-0.847928	0.000498919	0.8
50	-0.801472	-0.80431	0.000403106	0.9
50	-0.761336	-0.762417	0.000377305	1.0
50	-0.719896	-0.719737	0.00038309	1.1
50	-0.679672	-0.681845	0.000374019	1.2
50	-0.644176	-0.646235	0.000310213	1.3
50	-0.6112	-0.613752	0.000338583	1.4
50	-0.580392	-0.582954	0.000269255	1.5
50	-0.553872	-0.554973	0.000296342	1.6
50	-0.534992	-0.528706	0.000264238	1.7
50	-0.505376	-0.504615	0.000267659	1.8
50	-0.487632	-0.482707	0.00028025	1.9
50	-0.45908	-0.462493	0.000289881	2.0
