Block	Mean	Prog_mean	Error	Temperature
50	0.290872	0.329829	0.00690342	0.5
50	0.401021	0.412409	0.00452157	0.6
50	0.400163	0.424538	0.00409053	0.7
50	0.41301	0.440397	0.0026184	0.8
50	0.424479	0.435964	0.00210373	0.9
50	0.406663	0.422069	0.00150449	1.0
50	0.390452	0.396038	0.00141544	1.1
50	0.37793	0.372138	0.00127133	1.2
50	0.349856	0.344607	0.00079624	1.3
50	0.31951	0.318224	0.000715495	1.4
50	0.288999	0.293295	0.000740134	1.5
50	0.265092	0.270384	0.00060047	1.6
50	0.249055	0.248851	0.000612242	1.7
50	0.225559	0.23025	0.000548263	1.8
50	0.212769	0.212131	0.000482078	1.9
50	0.199281	0.196569	0.000389527	2.0
