Block	Mean	Prog_mean	Error	Temperature
50	0.960476	0.878615	0.0153537	0.5
50	0.610224	0.667786	0.0154376	0.6
50	0.588232	0.45283	0.0108625	0.7
50	0.302404	0.292609	0.00662083	0.8
50	0.126396	0.199328	0.00595585	0.9
50	0.113908	0.148474	0.00401409	1.0
50	0.119848	0.113127	0.00292388	1.1
50	0.084428	0.088509	0.0025653	1.2
50	0.087804	0.0736997	0.00194468	1.3
50	0.081516	0.0603454	0.0018738	1.4
50	0.053296	0.0484322	0.00135721	1.5
50	0.06328	0.0466546	0.00129259	1.6
50	0.037396	0.0378818	0.00102922	1.7
50	0.035208	0.0341012	0.000943355	1.8
50	0.029712	0.0320471	0.000896259	1.9
50	0.037836	0.0271814	0.00107159	2.0
