Block	Mean	Prog_mean	Error
1	68.7856	68.7856	0
2	77.8246	73.3051	4.51949
3	72.5782	73.0628	2.62055
4	68.4918	71.92	2.17705
5	73.1033	72.1567	1.70286
6	68.0132	71.4661	1.55243
7	83.0183	73.1164	2.10832
8	80.7459	74.0701	2.05992
9	77.9496	74.5012	1.86712
10	79.59	75.0101	1.74581
11	88.6068	76.2461	2.00539
12	84.1458	76.9044	1.94542
13	64.5724	75.9558	2.02541
14	86.1413	76.6834	2.01136
15	77.4502	76.7345	1.87317
16	74.4215	76.5899	1.75814
17	80.4905	76.8194	1.66735
18	74.991	76.7178	1.57527
19	79.4409	76.8611	1.49693
20	77.7431	76.9052	1.4208
21	81.8786	77.142	1.37204
22	71.6155	76.8908	1.33209
23	76.6215	76.8791	1.27291
24	87.0922	77.3047	1.29088
25	76.2025	77.2606	1.23895
26	67.4075	76.8816	1.24922
27	86.4608	77.2364	1.25332
28	78.206	77.271	1.20823
29	85.0358	77.5388	1.19617
30	80.1088	77.6244	1.15878
31	81.86	77.7611	1.12908
32	62.7144	77.2909	1.19006
33	81.8894	77.4302	1.16182
34	78.2828	77.4553	1.12741
35	83.9232	77.6401	1.11021
36	79.1997	77.6834	1.0798
37	78.0624	77.6937	1.05026
38	89.9396	78.0159	1.07184
39	83.4537	78.1553	1.05327
40	73.0313	78.0272	1.03456
41	72.8942	77.902	1.01675
42	84.1755	78.0514	1.00342
43	75.6319	77.9951	0.981425
44	84.4004	78.1407	0.969848
45	79.3953	78.1686	0.94846
46	78.8056	78.1824	0.927716
47	80.0067	78.2213	0.908592
48	82.2794	78.3058	0.893471
49	69.374	78.1235	0.89383
50	84.6063	78.2532	0.885317
