Block	Mean	Prog_mean	Error
1	-0.964632	-0.964632	0
2	-0.97432	-0.969476	0.004844
3	-0.96732	-0.968757	0.00288755
4	-0.962568	-0.96721	0.00256188
5	-0.967416	-0.967251	0.00198485
6	-0.962656	-0.966485	0.00179247
7	-0.979296	-0.968315	0.00237576
8	-0.97668	-0.969361	0.0023079
9	-0.970704	-0.96951	0.00204084
10	-0.972408	-0.9698	0.00184824
11	-0.983608	-0.971055	0.0020906
12	-0.98088	-0.971874	0.00207665
13	-0.959736	-0.97094	0.00212622
14	-0.983336	-0.971826	0.00215845
15	-0.97312	-0.971912	0.00201126
16	-0.968856	-0.971721	0.00189103
17	-0.973472	-0.971824	0.0017793
18	-0.96804	-0.971614	0.00169066
19	-0.974104	-0.971745	0.00160457
20	-0.971744	-0.971745	0.00152223
21	-0.975064	-0.971903	0.00145653
22	-0.96784	-0.971718	0.00140097
23	-0.971216	-0.971696	0.00133885
24	-0.98208	-0.972129	0.0013529
25	-0.972952	-0.972162	0.00129807
26	-0.964344	-0.971861	0.00128288
27	-0.981568	-0.972221	0.00128574
28	-0.97156	-0.972197	0.00123919
29	-0.979016	-0.972432	0.0012186
30	-0.974016	-0.972485	0.00117846
31	-0.97608	-0.972601	0.0011457
32	-0.959496	-0.972191	0.0011825
33	-0.977696	-0.972358	0.00115818
34	-0.9742	-0.972412	0.0011249
35	-0.979856	-0.972625	0.0011128
36	-0.973704	-0.972655	0.00108186
37	-0.972768	-0.972658	0.00105222
38	-0.984936	-0.972981	0.00107392
39	-0.978448	-0.973121	0.00105537
40	-0.968568	-0.973008	0.00103493
41	-0.970096	-0.972937	0.00101186
42	-0.978696	-0.973074	0.000996953
43	-0.97036	-0.973011	0.000975535
44	-0.9806	-0.973183	0.000968588
45	-0.973744	-0.973196	0.000946901
46	-0.974952	-0.973234	0.000926874
47	-0.97536	-0.973279	0.000908067
48	-0.975672	-0.973329	0.000890345
49	-0.964256	-0.973144	0.000891427
50	-0.97872	-0.973255	0.000880508
